Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 02:13:45,Ours,0.00208,1.4679744230299303,10.77,10.77,1,114.3923,1:54.39,111.2526,0.2292,2.9031,114.3926,1:54.39,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","14.8227,39.9095,12.3596,13.6704,7.9199,0.5377,10.6551,6.1058,1.2644,4.0076"
12,2026-09-18 02:39:22,Ours,0.01,0.9568515763158283,59.9,59.9,12,144.2221,2:24.22,140.8047,0.0913,3.3185,1651.5876,27:31.59,10,"1,5,2,4,3,7,9,6,8,0",1:24;5:31;2:32;4:16;3:19;7:16;9:23;6:16;8:31;0:27,"1:[0,2];5:[0,1,2];2:[0,1,2];4:[0];3:[0];7:[0];9:[0,2];6:[0];8:[0,1,2];0:[0,2]","c1:bw=24,experts=[0,2]; c5:bw=31,experts=[0,1,2]; c2:bw=32,experts=[0,1,2]; c4:bw=16,experts=[0]; c3:bw=19,experts=[0]; c7:bw=16,experts=[0]; c9:bw=23,experts=[0,2]; c6:bw=16,experts=[0]; c8:bw=31,experts=[0,1,2]; c0:bw=27,experts=[0,2]","53.2468,15.6347,0.7145,8.0619,1.4276,8.7943,13.4027,5.0591,17.4613,17.0019"
13,2026-09-18 02:41:53,Ours,0.01,0.9342515135786298,59.85,59.9,12,150.692,2:30.69,146.8866,0.0974,3.6987,1802.3096,30:02.31,10,"3,1,4,5,8,6,9,7,0,2",3:17;1:26;4:10;5:16;8:10;6:20;9:10;7:32;0:14;2:10,"3:[0];1:[0,2];4:[0];5:[0];8:[0];6:[0,2];9:[0];7:[0,1,2];0:[0];2:[0]","c3:bw=17,experts=[0]; c1:bw=26,experts=[0,2]; c4:bw=10,experts=[0]; c5:bw=16,experts=[0]; c8:bw=10,experts=[0]; c6:bw=20,experts=[0,2]; c9:bw=10,experts=[0]; c7:bw=32,experts=[0,1,2]; c0:bw=14,experts=[0]; c2:bw=10,experts=[0]","1.3685,53.7019,7.4584,15.8396,18.0110,4.8109,14.4167,11.3019,19.3493,0.6284"
14,2026-09-18 02:44:20,Ours,0.01,0.9257162118285075,64.34,64.34,14,147.0286,2:27.03,143.1289,0.0893,3.8042,1949.3714,32:29.37,10,"2,4,5,1,7,0,9,3,8,6",2:25;4:10;5:36;1:21;7:14;0:14;9:18;3:25;8:12;6:37,"2:[0,2];4:[0];5:[0,1,2];1:[0,2];7:[0];0:[0];9:[0];3:[0,2];8:[0];6:[0,1,2]","c2:bw=25,experts=[0,2]; c4:bw=10,experts=[0]; c5:bw=36,experts=[0,1,2]; c1:bw=21,experts=[0,2]; c7:bw=14,experts=[0]; c0:bw=14,experts=[0]; c9:bw=18,experts=[0]; c3:bw=25,experts=[0,2]; c8:bw=12,experts=[0]; c6:bw=37,experts=[0,1,2]","0.6054,7.3221,17.9468,53.0856,9.5313,16.9358,13.2139,1.4978,18.0624,4.9278"
15,2026-09-18 02:46:39,Ours,0.01,0.918809404845047,63.38,64.34,14,138.6624,2:18.66,134.7689,0.0919,3.7929,2088.0789,34:48.08,10,"7,0,1,8,3,2,4,5,9,6",7:33;0:11;1:10;8:29;3:10;2:29;4:26;5:10;9:11;6:18,"7:[0,1,2];0:[0];1:[0];8:[0,2];3:[0];2:[0,2];4:[0,2];5:[0];9:[0];6:[0]","c7:bw=33,experts=[0,1,2]; c0:bw=11,experts=[0]; c1:bw=10,experts=[0]; c8:bw=29,experts=[0,2]; c3:bw=10,experts=[0]; c2:bw=29,experts=[0,2]; c4:bw=26,experts=[0,2]; c5:bw=10,experts=[0]; c9:bw=11,experts=[0]; c6:bw=18,experts=[0]","9.2689,16.7586,47.3317,17.8694,1.5414,0.5993,7.8618,15.6194,13.0470,4.8714"
16,2026-09-18 02:48:58,Ours,0.01,0.9101672804593436,63.57,64.34,14,139.5574,2:19.56,135.974,0.0854,3.4922,2227.6703,37:07.67,10,"6,1,3,8,7,5,4,9,0,2",6:22;1:16;3:24;8:27;7:12;5:22;4:20;9:13;0:32;2:29,"6:[0,2];1:[0];3:[0,2];8:[0,2];7:[0];5:[0,2];4:[0,2];9:[0];0:[0,1,2];2:[0,2]","c6:bw=22,experts=[0,2]; c1:bw=16,experts=[0]; c3:bw=24,experts=[0,2]; c8:bw=27,experts=[0,2]; c7:bw=12,experts=[0]; c5:bw=22,experts=[0,2]; c4:bw=20,experts=[0,2]; c9:bw=13,experts=[0]; c0:bw=32,experts=[0,1,2]; c2:bw=29,experts=[0,2]","5.1180,50.8615,1.4030,18.2329,9.2221,16.5555,7.4325,11.5602,14.9510,0.6374"
17,2026-09-18 02:51:12,Ours,0.01,0.9018109396070108,64.12,64.34,14,133.5276,2:13.53,129.7909,0.092,3.6349,2361.235,39:21.24,10,"4,7,8,3,5,1,0,2,9,6",4:32;7:14;8:10;3:29;5:10;1:16;0:10;2:11;9:21;6:21,"4:[0,2,3];7:[0];8:[0];3:[0,2];5:[0];1:[0];0:[0];2:[0];9:[0,2];6:[0,2]","c4:bw=32,experts=[0,2,3]; c7:bw=14,experts=[0]; c8:bw=10,experts=[0]; c3:bw=29,experts=[0,2]; c5:bw=10,experts=[0]; c1:bw=16,experts=[0]; c0:bw=10,experts=[0]; c2:bw=11,experts=[0]; c9:bw=21,experts=[0,2]; c6:bw=21,experts=[0,2]","7.3787,8.9127,16.6500,1.4185,14.9209,47.5335,15.8380,0.5696,12.1704,4.3986"
18,2026-09-18 02:53:26,Ours,0.01,0.9033113013866944,65.75,65.75,18,133.7442,2:13.74,130.1213,0.0885,3.5268,2495.0167,41:35.02,10,"1,8,5,2,9,7,4,3,0,6",1:10;8:10;5:19;2:21;9:10;7:30;4:31;3:21;0:27;6:17,"1:[0];8:[0];5:[0];2:[0,2];9:[0];7:[0,1,2];4:[0,2,3];3:[0,2];0:[0,2];6:[0]","c1:bw=10,experts=[0]; c8:bw=10,experts=[0]; c5:bw=19,experts=[0]; c2:bw=21,experts=[0,2]; c9:bw=10,experts=[0]; c7:bw=30,experts=[0,1,2]; c4:bw=31,experts=[0,2,3]; c3:bw=21,experts=[0,2]; c0:bw=27,experts=[0,2]; c6:bw=17,experts=[0]","46.9191,16.7894,14.8199,0.6696,12.3735,9.0418,7.5594,1.4342,16.0701,4.4443"
19,2026-09-18 02:55:39,Ours,0.01,0.8988111008655142,65.71,65.75,18,133.6197,2:13.62,129.9245,0.0945,3.596,2628.6712,43:48.67,10,"8,0,4,1,9,5,7,2,6,3",8:31;0:23;4:28;1:26;9:21;5:16;7:12;2:10;6:36;3:22,"8:[0,1,2];0:[0,2];4:[0,2];1:[0,2];9:[0,2];5:[0];7:[0];2:[0];6:[0,1,2];3:[0,2]","c8:bw=31,experts=[0,1,2]; c0:bw=23,experts=[0,2]; c4:bw=28,experts=[0,2]; c1:bw=26,experts=[0,2]; c9:bw=21,experts=[0,2]; c5:bw=16,experts=[0]; c7:bw=12,experts=[0]; c2:bw=10,experts=[0]; c6:bw=36,experts=[0,1,2]; c3:bw=22,experts=[0,2]","17.1718,15.3220,7.4277,47.4841,12.1708,14.7432,9.0629,0.6221,4.5581,1.3619"
20,2026-09-18 02:57:54,Ours,0.01,0.8810856238024762,67.19,67.19,20,134.6811,2:14.68,130.9732,0.0876,3.6127,2763.3851,46:03.39,10,"0,2,1,9,7,6,3,5,4,8",0:15;2:23;1:22;9:10;7:24;6:38;3:10;5:10;4:33;8:28,"0:[0];2:[0,2];1:[0,2];9:[0];7:[0,2];6:[0,1,2];3:[0];5:[0];4:[0,1,2];8:[0,2]","c0:bw=15,experts=[0]; c2:bw=23,experts=[0,2]; c1:bw=22,experts=[0,2]; c9:bw=10,experts=[0]; c7:bw=24,experts=[0,2]; c6:bw=38,experts=[0,1,2]; c3:bw=10,experts=[0]; c5:bw=10,experts=[0]; c4:bw=33,experts=[0,1,2]; c8:bw=28,experts=[0,2]","15.3867,0.6596,47.6162,12.3087,9.0522,4.6687,1.4991,14.8282,7.4014,17.5525"
21,2026-09-18 03:00:11,Ours,0.01,0.8808353895324611,66.66,67.19,20,137.1224,2:17.12,133.5079,0.0952,3.5101,2900.5408,48:20.54,10,"1,2,7,4,8,5,0,3,6,9",1:23;2:22;7:10;4:26;8:10;5:18;0:37;3:10;6:10;9:14,"1:[0,2];2:[0,2];7:[0];4:[0,2];8:[0];5:[0];0:[0,1,2];3:[0];6:[0];9:[0]","c1:bw=23,experts=[0,2]; c2:bw=22,experts=[0,2]; c7:bw=10,experts=[0]; c4:bw=26,experts=[0,2]; c8:bw=10,experts=[0]; c5:bw=18,experts=[0]; c0:bw=37,experts=[0,1,2]; c3:bw=10,experts=[0]; c6:bw=10,experts=[0]; c9:bw=14,experts=[0]","49.0680,0.6201,8.7790,7.7366,17.7021,15.6440,16.0060,1.4536,4.5705,11.9279"
22,2026-09-18 03:02:29,Ours,0.01,0.8723130782946008,68.1,68.1,22,137.3785,2:17.38,133.8693,0.0856,3.4155,3037.9524,50:37.95,10,"7,9,1,6,5,2,0,4,3,8",7:10;9:18;1:10;6:34;5:10;2:37;0:37;4:20;3:31;8:18,"7:[0];9:[0];1:[0];6:[0,1,2];5:[0];2:[0,1,2];0:[0,2,3];4:[0,2];3:[0,1,2];8:[0]","c7:bw=10,experts=[0]; c9:bw=18,experts=[0]; c1:bw=10,experts=[0]; c6:bw=34,experts=[0,1,2]; c5:bw=10,experts=[0]; c2:bw=37,experts=[0,1,2]; c0:bw=37,experts=[0,2,3]; c4:bw=20,experts=[0,2]; c3:bw=31,experts=[0,1,2]; c8:bw=18,experts=[0]","8.7637,12.3002,49.6637,4.6464,15.5349,0.5949,16.2197,7.6480,1.4040,17.0939"
23,2026-09-18 03:04:47,Ours,0.01,0.8682915635756026,69.05,69.05,23,138.2462,2:18.25,134.6613,0.0902,3.4885,3176.2354,52:56.24,10,"5,7,4,6,9,8,3,1,2,0",5:29;7:10;4:31;6:10;9:28;8:19;3:10;1:34;2:18;0:10,"5:[0,2];7:[0];4:[0,1,2];6:[0];9:[0,2];8:[0];3:[0];1:[0,1,2];2:[0];0:[0]","c5:bw=29,experts=[0,2]; c7:bw=10,experts=[0]; c4:bw=31,experts=[0,1,2]; c6:bw=10,experts=[0]; c9:bw=28,experts=[0,2]; c8:bw=19,experts=[0]; c3:bw=10,experts=[0]; c1:bw=34,experts=[0,1,2]; c2:bw=18,experts=[0]; c0:bw=10,experts=[0]","14.9955,9.2980,7.6173,4.6689,12.5227,17.6193,1.4980,49.8905,0.5707,15.9805"
24,2026-09-18 03:07:02,Ours,0.01,0.867107714171158,66.73,69.05,23,135.3246,2:15.32,131.5804,0.0901,3.6451,3311.591,55:11.59,10,"6,4,7,9,2,1,5,8,3,0",6:17;4:10;7:10;9:28;2:24;1:10;5:14;8:10;3:10;0:17,"6:[0];4:[0];7:[0];9:[0,2];2:[0,2];1:[0];5:[0];8:[0];3:[0];0:[0]","c6:bw=17,experts=[0]; c4:bw=10,experts=[0]; c7:bw=10,experts=[0]; c9:bw=28,experts=[0,2]; c2:bw=24,experts=[0,2]; c1:bw=10,experts=[0]; c5:bw=14,experts=[0]; c8:bw=10,experts=[0]; c3:bw=10,experts=[0]; c0:bw=17,experts=[0]","4.4610,7.0976,8.8807,12.3511,0.6969,48.3736,15.1920,17.0701,1.3662,16.0912"
25,2026-09-18 03:09:18,Ours,0.01,0.863821314194159,70.01,70.01,25,135.7411,2:15.74,132.1069,0.0979,3.5276,3447.3691,57:27.37,10,"9,6,4,3,5,1,8,2,0,7",9:22;6:10;4:32;3:10;5:35;1:27;8:30;2:10;0:31;7:22,"9:[0,2];6:[0];4:[0,2,3];3:[0];5:[0,2,3];1:[0,2];8:[0,1,2];2:[0];0:[0,2,3];7:[0,2]","c9:bw=22,experts=[0,2]; c6:bw=10,experts=[0]; c4:bw=32,experts=[0,2,3]; c3:bw=10,experts=[0]; c5:bw=35,experts=[0,2,3]; c1:bw=27,experts=[0,2]; c8:bw=30,experts=[0,1,2]; c2:bw=10,experts=[0]; c0:bw=31,experts=[0,2,3]; c7:bw=22,experts=[0,2]","12.3396,4.4600,7.3375,1.3777,14.6363,49.1803,16.9257,0.6561,16.1751,9.0186"
26,2026-09-18 03:11:33,Ours,0.01,0.8611783596181459,69.82,70.01,25,134.3054,2:14.31,130.5872,0.0892,3.6197,3581.731,59:41.73,10,"3,6,9,7,1,5,2,8,0,4",3:25;6:19;9:28;7:17;1:18;5:11;2:17;8:30;0:10;4:26,"3:[0,2];6:[0];9:[0,2];7:[0];1:[0];5:[0];2:[0];8:[0,1,2];0:[0];4:[0,2]","c3:bw=25,experts=[0,2]; c6:bw=19,experts=[0]; c9:bw=28,experts=[0,2]; c7:bw=17,experts=[0]; c1:bw=18,experts=[0]; c5:bw=11,experts=[0]; c2:bw=17,experts=[0]; c8:bw=30,experts=[0,1,2]; c0:bw=10,experts=[0]; c4:bw=26,experts=[0,2]","1.4203,4.4960,12.2672,9.4848,46.7153,14.7815,0.5948,17.2251,16.0417,7.5606"
27,2026-09-18 03:13:47,Ours,0.01,0.8570530738579359,68.35,70.01,25,134.4683,2:14.47,130.8722,0.0867,3.5025,3716.2341,1:01:56.23,10,"7,1,4,0,9,2,8,3,6,5",7:29;1:34;4:10;0:20;9:10;2:11;8:31;3:12;6:35;5:20,"7:[0,2];1:[0,1,2];4:[0];0:[0,2];9:[0];2:[0];8:[0,1,2];3:[0];6:[0,1,2];5:[0,2]","c7:bw=29,experts=[0,2]; c1:bw=34,experts=[0,1,2]; c4:bw=10,experts=[0]; c0:bw=20,experts=[0,2]; c9:bw=10,experts=[0]; c2:bw=11,experts=[0]; c8:bw=31,experts=[0,1,2]; c3:bw=12,experts=[0]; c6:bw=35,experts=[0,1,2]; c5:bw=20,experts=[0,2]","9.0264,47.8477,7.3112,16.1243,12.2213,0.5659,17.0767,1.4565,4.6528,14.5892"
28,2026-09-18 03:16:03,Ours,0.01,0.8520230947889441,71.19,71.19,28,136.0095,2:16.01,132.3468,0.1009,3.5519,3852.2832,1:04:12.28,10,"6,9,0,8,2,5,1,3,4,7",6:16;9:27;0:26;8:16;2:10;5:18;1:14;3:10;4:10;7:10,"6:[0];9:[0,2];0:[0,2];8:[0];2:[0];5:[0];1:[0];3:[0];4:[0];7:[0]","c6:bw=16,experts=[0]; c9:bw=27,experts=[0,2]; c0:bw=26,experts=[0,2]; c8:bw=16,experts=[0]; c2:bw=10,experts=[0]; c5:bw=18,experts=[0]; c1:bw=14,experts=[0]; c3:bw=10,experts=[0]; c4:bw=10,experts=[0]; c7:bw=10,experts=[0]","4.7327,12.4371,15.9113,16.8623,0.6177,14.4663,49.5826,1.4332,7.4867,8.8169"
29,2026-09-18 03:18:20,Ours,0.01,0.8484799460444501,69.82,71.19,28,136.4033,2:16.40,132.9877,0.0953,3.3109,3988.7218,1:06:28.72,10,"4,0,1,9,6,8,7,3,2,5",4:21;0:24;1:18;9:24;6:24;8:19;7:12;3:18;2:10;5:19,"4:[0,2];0:[0,2];1:[0];9:[0,2];6:[0,2];8:[0];7:[0];3:[0];2:[0];5:[0]","c4:bw=21,experts=[0,2]; c0:bw=24,experts=[0,2]; c1:bw=18,experts=[0]; c9:bw=24,experts=[0,2]; c6:bw=24,experts=[0,2]; c8:bw=19,experts=[0]; c7:bw=12,experts=[0]; c3:bw=18,experts=[0]; c2:bw=10,experts=[0]; c5:bw=19,experts=[0]","7.6608,16.1350,48.5975,12.0606,4.7601,17.2407,9.4037,1.4254,0.6638,15.0400"
30,2026-09-18 03:20:38,Ours,0.01,0.8369690336159261,69.62,71.19,28,137.944,2:17.94,134.2313,0.0946,3.6065,4126.7016,1:08:46.70,10,"5,1,9,4,0,8,6,7,3,2",5:34;1:20;9:30;4:29;0:10;8:23;6:10;7:10;3:33;2:15,"5:[0,1,2];1:[0,2];9:[0,2,3];4:[0,2];0:[0];8:[0,2];6:[0];7:[0];3:[0,1,2];2:[0]","c5:bw=34,experts=[0,1,2]; c1:bw=20,experts=[0,2]; c9:bw=30,experts=[0,2,3]; c4:bw=29,experts=[0,2]; c0:bw=10,experts=[0]; c8:bw=23,experts=[0,2]; c6:bw=10,experts=[0]; c7:bw=10,experts=[0]; c3:bw=33,experts=[0,1,2]; c2:bw=15,experts=[0]","15.1827,49.4645,12.6439,7.5027,16.4620,17.5373,4.5454,8.9752,1.3486,0.5690"
31,2026-09-18 03:22:53,Ours,0.01,0.8396789277531749,71.45,71.45,31,135.8729,2:15.87,131.9652,0.088,3.8143,4262.6129,1:11:02.61,10,"6,4,9,1,5,8,3,2,0,7",6:16;4:11;9:25;1:17;5:34;8:18;3:13;2:10;0:26;7:35,"6:[0];4:[0];9:[0,2];1:[0];5:[0,1,2];8:[0];3:[0];2:[0];0:[0,2];7:[0,1,2]","c6:bw=16,experts=[0]; c4:bw=11,experts=[0]; c9:bw=25,experts=[0,2]; c1:bw=17,experts=[0]; c5:bw=34,experts=[0,1,2]; c8:bw=18,experts=[0]; c3:bw=13,experts=[0]; c2:bw=10,experts=[0]; c0:bw=26,experts=[0,2]; c7:bw=35,experts=[0,1,2]","4.5992,7.1838,12.0875,48.4110,15.1885,17.1475,1.3680,0.6972,16.1031,9.1794"
