Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
56,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
56,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
56,7,3,71,4512,16,0,1.0,0.0,0.0,0.0,0.0,1.0
57,9,3,54,3421,16,0,1.0,0.0,1.0,1.0,1.0,1.0
58,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
59,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
60,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
62,8,2,82,5219,16,0,1.0,0.0,1.0,1.0,1.0,1.0
62,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
63,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
63,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
65,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
66,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
67,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
68,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
70,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
71,0,3,72,4573,16,0,0.0,0.0,0.0,1.0,0.0,0.0
71,7,3,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
72,6,3,103,6582,16,0,0.0,1.0,1.0,1.0,1.0,0.0
73,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
73,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
73,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
74,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
74,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
74,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
75,3,3,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
76,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
77,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
77,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
77,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
79,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
