Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
11,2026-09-25 19:48:19,Ours,0.01,2.4779253020197394,26.95,26.95,11,61.8102,1:01.81,60.505,0.1682,1.136,728.5962,12:08.60,10,"5,2,7,3,0,8,9,6,1,4",5:13;2:12;7:20;3:23;0:13;8:18;9:15;6:25;1:18;4:7,"5:[20];2:[20];7:[17,20];3:[17,20];0:[20];8:[20];9:[20];6:[17,20];1:[20];4:[]","c5:bw=13,experts=[20]; c2:bw=12,experts=[20]; c7:bw=20,experts=[17,20]; c3:bw=23,experts=[17,20]; c0:bw=13,experts=[20]; c8:bw=18,experts=[20]; c9:bw=15,experts=[20]; c6:bw=25,experts=[17,20]; c1:bw=18,experts=[20]; c4:bw=7,experts=[]","7.5271,4.5980,5.6462,6.0261,5.4288,6.3686,4.1260,7.8635,4.9784,7.9424"
12,2026-09-25 19:49:20,Ours,0.01,2.438064671432914,30.11,30.11,12,61.3686,1:01.37,60.1081,0.1568,1.1028,789.9861,13:09.99,10,"1,5,2,4,3,7,9,6,8,0",1:19;5:26;2:26;4:13;3:16;7:13;9:19;6:13;8:25;0:22,"1:[20];5:[17,20];2:[17,20];4:[20];3:[20];7:[20];9:[20];6:[20];8:[17,20];0:[17,20]","c1:bw=19,experts=[20]; c5:bw=26,experts=[17,20]; c2:bw=26,experts=[17,20]; c4:bw=13,experts=[20]; c3:bw=16,experts=[20]; c7:bw=13,experts=[20]; c9:bw=19,experts=[20]; c6:bw=13,experts=[20]; c8:bw=25,experts=[17,20]; c0:bw=22,experts=[17,20]","5.1564,7.4541,4.3773,7.7283,5.9975,5.3419,4.1361,7.8866,6.3239,5.7060"
13,2026-09-25 19:50:21,Ours,0.01,2.3857034806283908,28.75,30.11,12,60.8356,1:00.84,59.6695,0.1514,1.0137,850.8416,14:10.84,10,"3,1,4,5,8,6,9,7,0,2",3:14;1:22;4:2;5:13;8:7;6:17;9:7;7:27;0:12;2:7,"3:[20];1:[17,20];4:[];5:[20];8:[];6:[20];9:[];7:[17,20];0:[20];2:[]","c3:bw=14,experts=[20]; c1:bw=22,experts=[17,20]; c4:bw=2,experts=[]; c5:bw=13,experts=[20]; c8:bw=7,experts=[]; c6:bw=17,experts=[20]; c9:bw=7,experts=[]; c7:bw=27,experts=[17,20]; c0:bw=12,experts=[20]; c2:bw=7,experts=[]","5.8775,5.0475,7.8651,7.2891,6.1594,7.8692,4.2467,5.4461,5.4036,4.4654"
14,2026-09-25 19:51:25,Ours,0.01,2.3537822278930416,32.33,32.33,14,63.3058,1:03.31,61.981,0.1535,1.1704,914.1665,15:14.17,10,"2,4,5,1,7,0,9,3,8,6",2:20;4:3;5:29;1:18;7:11;0:12;9:14;3:21;8:10;6:31,"2:[17,20];4:[];5:[17,20];1:[20];7:[20];0:[20];9:[20];3:[17,20];8:[20];6:[15,17,20]","c2:bw=20,experts=[17,20]; c4:bw=3,experts=[]; c5:bw=29,experts=[17,20]; c1:bw=18,experts=[20]; c7:bw=11,experts=[20]; c0:bw=12,experts=[20]; c9:bw=14,experts=[20]; c3:bw=21,experts=[17,20]; c8:bw=10,experts=[20]; c6:bw=31,experts=[15,17,20]","4.3828,7.8700,7.1666,5.0696,5.5640,5.6964,4.4215,6.6039,6.7044,8.5017"
15,2026-09-25 19:52:31,Ours,0.01,2.3195631278623567,29.65,32.33,14,66.4906,1:06.49,65.1365,0.1633,1.1897,980.6788,16:20.68,10,"7,0,1,8,3,2,4,5,9,6",7:27;0:9;1:7;8:24;3:5;2:24;4:21;5:8;9:9;6:15,"7:[17,20];0:[];1:[];8:[17,20];3:[];2:[17,20];4:[17,20];5:[];9:[];6:[20]","c7:bw=27,experts=[17,20]; c0:bw=9,experts=[]; c1:bw=7,experts=[]; c8:bw=24,experts=[17,20]; c3:bw=5,experts=[]; c2:bw=24,experts=[17,20]; c4:bw=21,experts=[17,20]; c5:bw=8,experts=[]; c9:bw=9,experts=[]; c6:bw=15,experts=[20]","5.8832,5.9714,5.4882,6.8851,6.4875,4.8084,8.7369,7.8869,4.5426,8.4464"
16,2026-09-25 19:53:37,Ours,0.01,2.287565976895794,35.63,35.63,16,66.1746,1:06.17,64.8731,0.1609,1.1396,1046.8752,17:26.88,10,"6,1,3,8,7,5,4,9,0,2",6:18;1:13;3:20;8:22;7:10;5:18;4:16;9:11;0:26;2:24,"6:[20];1:[20];3:[17,20];8:[17,20];7:[20];5:[20];4:[20];9:[20];0:[17,20];2:[17,20]","c6:bw=18,experts=[20]; c1:bw=13,experts=[20]; c3:bw=20,experts=[17,20]; c8:bw=22,experts=[17,20]; c7:bw=10,experts=[20]; c5:bw=18,experts=[20]; c4:bw=16,experts=[20]; c9:bw=11,experts=[20]; c0:bw=26,experts=[17,20]; c2:bw=24,experts=[17,20]","8.5940,5.5157,6.3963,6.7314,5.7858,7.9833,8.5872,4.4706,6.0722,4.7365"
17,2026-09-25 19:54:42,Ours,0.01,2.2505246728182606,34.87,35.63,16,64.4891,1:04.49,63.2612,0.1542,1.0729,1111.3866,18:31.39,10,"4,7,8,3,5,1,0,2,9,6",4:26;7:11;8:4;3:24;5:1;1:13;0:5;2:9;9:17;6:18,"4:[17,20];7:[20];8:[];3:[17,20];5:[];1:[20];0:[];2:[];9:[20];6:[20]","c4:bw=26,experts=[17,20]; c7:bw=11,experts=[20]; c8:bw=4,experts=[]; c3:bw=24,experts=[17,20]; c5:bw=1,experts=[]; c1:bw=13,experts=[20]; c0:bw=5,experts=[]; c2:bw=9,experts=[]; c9:bw=17,experts=[20]; c6:bw=18,experts=[20]","8.3707,5.8114,6.7534,6.7240,8.0307,5.6336,5.5916,4.4815,4.1481,7.7161"
18,2026-09-25 19:55:43,Ours,0.01,2.22337298917122,37.02,37.02,18,61.2422,1:01.24,59.9944,0.1581,1.0887,1172.6507,19:32.65,10,"1,8,5,2,9,7,4,3,0,6",1:3;8:2;5:16;2:17;9:9;7:25;4:25;3:17;0:22;6:14,"1:[];8:[];5:[20];2:[20];9:[];7:[17,20];4:[17,20];3:[20];0:[17,20];6:[20]","c1:bw=3,experts=[]; c8:bw=2,experts=[]; c5:bw=16,experts=[20]; c2:bw=17,experts=[20]; c9:bw=9,experts=[]; c7:bw=25,experts=[17,20]; c4:bw=25,experts=[17,20]; c3:bw=17,experts=[20]; c0:bw=22,experts=[17,20]; c6:bw=14,experts=[20]","5.0701,6.2925,7.1628,4.3898,4.0822,5.4807,8.1253,5.9857,5.5421,7.8633"
19,2026-09-25 19:56:44,Ours,0.01,2.193911353110977,39.21,39.21,19,61.3115,1:01.31,60.0509,0.1586,1.101,1233.9825,20:33.98,10,"8,0,4,1,9,5,7,2,6,3",8:25;0:19;4:23;1:21;9:17;5:13;7:10;2:6;6:30;3:18,"8:[17,20];0:[20];4:[17,20];1:[17,20];9:[20];5:[20];7:[20];2:[];6:[15,17,20];3:[20]","c8:bw=25,experts=[17,20]; c0:bw=19,experts=[20]; c4:bw=23,experts=[17,20]; c1:bw=21,experts=[17,20]; c9:bw=17,experts=[20]; c5:bw=13,experts=[20]; c7:bw=10,experts=[20]; c2:bw=6,experts=[]; c6:bw=30,experts=[15,17,20]; c3:bw=18,experts=[20]","6.2133,5.6032,7.8052,5.0958,4.1615,7.4338,5.5659,4.3514,7.8555,5.9655"
20,2026-09-25 19:57:46,Ours,0.01,2.1695331278102565,38.2,39.21,19,61.2236,1:01.22,60.0205,0.1568,1.0455,1295.2254,21:35.23,10,"0,2,1,9,7,6,3,5,4,8",0:13;2:19;1:18;9:8;7:19;6:31;3:8;5:2;4:27;8:23,"0:[20];2:[20];1:[20];9:[];7:[20];6:[15,17,20];3:[];5:[];4:[17,20];8:[17,20]","c0:bw=13,experts=[20]; c2:bw=19,experts=[20]; c1:bw=18,experts=[20]; c9:bw=8,experts=[]; c7:bw=19,experts=[20]; c6:bw=31,experts=[15,17,20]; c3:bw=8,experts=[]; c5:bw=2,experts=[]; c4:bw=27,experts=[17,20]; c8:bw=23,experts=[17,20]","5.5497,4.4322,5.0098,4.1238,5.3973,7.9904,6.0820,7.2888,7.9221,6.2245"
21,2026-09-25 19:58:47,Ours,0.01,2.1443436047471436,36.49,39.21,19,60.8111,1:00.81,59.5666,0.1569,1.0867,1356.0584,22:36.06,10,"1,2,7,4,8,5,0,3,6,9",1:19;2:18;7:6;4:22;8:8;5:15;0:30;3:3;6:7;9:12,"1:[20];2:[20];7:[];4:[17,20];8:[];5:[20];0:[15,17,20];3:[];6:[];9:[20]","c1:bw=19,experts=[20]; c2:bw=18,experts=[20]; c7:bw=6,experts=[]; c4:bw=22,experts=[17,20]; c8:bw=8,experts=[]; c5:bw=15,experts=[20]; c0:bw=30,experts=[15,17,20]; c3:bw=3,experts=[]; c6:bw=7,experts=[]; c9:bw=12,experts=[20]","5.0399,4.4142,5.4901,7.9128,6.3087,7.1687,5.4482,5.8881,7.7613,4.1344"
22,2026-09-25 19:59:47,Ours,0.01,2.1223817478731997,39.0,39.21,19,60.8341,1:00.83,59.5797,0.1569,1.0966,1416.9162,23:36.92,10,"7,9,1,6,5,2,0,4,3,8",7:7;9:15;1:3;6:28;5:8;2:30;0:30;4:17;3:25;8:15,"7:[];9:[20];1:[];6:[17,20];5:[];2:[15,17,20];0:[15,17,20];4:[20];3:[17,20];8:[20]","c7:bw=7,experts=[]; c9:bw=15,experts=[20]; c1:bw=3,experts=[]; c6:bw=28,experts=[17,20]; c5:bw=8,experts=[]; c2:bw=30,experts=[15,17,20]; c0:bw=30,experts=[15,17,20]; c4:bw=17,experts=[20]; c3:bw=25,experts=[17,20]; c8:bw=15,experts=[20]","5.2844,4.0948,5.1650,7.9468,7.2016,4.2775,5.4603,7.9490,5.9944,6.2058"
23,2026-09-25 20:00:49,Ours,0.01,2.1007950675641878,39.81,39.81,23,61.1258,1:01.13,59.8509,0.1552,1.1187,1478.0646,24:38.06,10,"5,7,4,6,9,8,3,1,2,0",5:24;7:7;4:25;6:5;9:23;8:16;3:7;1:28;2:15;0:5,"5:[17,20];7:[];4:[17,20];6:[];9:[17,20];8:[20];3:[];1:[17,20];2:[20];0:[]","c5:bw=24,experts=[17,20]; c7:bw=7,experts=[]; c4:bw=25,experts=[17,20]; c6:bw=5,experts=[]; c9:bw=23,experts=[17,20]; c8:bw=16,experts=[20]; c3:bw=7,experts=[]; c1:bw=28,experts=[17,20]; c2:bw=15,experts=[20]; c0:bw=5,experts=[]","7.3978,5.5125,7.8466,7.7630,4.1654,6.1502,6.0162,5.0996,4.3771,5.5225"
24,2026-09-25 20:01:50,Ours,0.01,2.076505244870091,38.91,39.81,23,61.1768,1:01.18,59.9308,0.1719,1.0733,1539.2645,25:39.26,10,"6,4,7,9,2,1,5,8,3,0",6:14;4:6;7:2;9:23;2:20;1:1;5:11;8:8;3:1;0:14,"6:[20];4:[];7:[];9:[17,20];2:[17,20];1:[];5:[20];8:[];3:[];0:[20]","c6:bw=14,experts=[20]; c4:bw=6,experts=[]; c7:bw=2,experts=[]; c9:bw=23,experts=[17,20]; c2:bw=20,experts=[17,20]; c1:bw=1,experts=[]; c5:bw=11,experts=[20]; c8:bw=8,experts=[]; c3:bw=1,experts=[]; c0:bw=14,experts=[20]","7.9768,8.0291,5.3975,4.0355,4.4141,5.0325,7.1548,6.2125,6.0811,5.5969"
25,2026-09-25 20:02:51,Ours,0.01,2.0611890130649413,42.45,42.45,25,61.0199,1:01.02,59.7531,0.1661,1.0996,1600.3074,26:40.31,10,"9,6,4,3,5,1,8,2,0,7",9:18;6:7;4:27;3:6;5:29;1:22;8:25;2:6;0:26;7:18,"9:[20];6:[];4:[17,20];3:[];5:[17,20];1:[17,20];8:[17,20];2:[];0:[17,20];7:[20]","c9:bw=18,experts=[20]; c6:bw=7,experts=[]; c4:bw=27,experts=[17,20]; c3:bw=6,experts=[]; c5:bw=29,experts=[17,20]; c1:bw=22,experts=[17,20]; c8:bw=25,experts=[17,20]; c2:bw=6,experts=[]; c0:bw=26,experts=[17,20]; c7:bw=18,experts=[20]","4.1875,7.7668,7.9337,5.9487,7.2379,5.0306,6.1502,4.4452,5.5393,5.5133"
26,2026-09-25 20:03:52,Ours,0.01,2.0426896371962244,43.66,43.66,26,61.4706,1:01.47,60.1806,0.1728,1.1162,1661.8024,27:41.80,10,"3,6,9,7,1,5,2,8,0,4",3:20;6:15;9:23;7:14;1:15;5:9;2:14;8:24;0:5;4:22,"3:[17,20];6:[20];9:[17,20];7:[20];1:[20];5:[];2:[20];8:[17,20];0:[];4:[17,20]","c3:bw=20,experts=[17,20]; c6:bw=15,experts=[20]; c9:bw=23,experts=[17,20]; c7:bw=14,experts=[20]; c1:bw=15,experts=[20]; c5:bw=9,experts=[]; c2:bw=14,experts=[20]; c8:bw=24,experts=[17,20]; c0:bw=5,experts=[]; c4:bw=22,experts=[17,20]","6.1389,7.7943,4.1230,5.4025,5.0524,7.2631,4.4128,6.1246,5.5957,8.2733"
27,2026-09-25 20:04:54,Ours,0.01,2.025855276640134,45.14,45.14,27,61.2534,1:01.25,60.0031,0.16,1.0894,1723.0811,28:43.08,10,"7,1,4,0,9,2,8,3,6,5",7:23;1:28;4:6;0:16;9:8;2:9;8:25;3:10;6:29;5:17,"7:[17,20];1:[17,20];4:[];0:[20];9:[];2:[];8:[17,20];3:[20];6:[17,20];5:[20]","c7:bw=23,experts=[17,20]; c1:bw=28,experts=[17,20]; c4:bw=6,experts=[]; c0:bw=16,experts=[20]; c9:bw=8,experts=[]; c2:bw=9,experts=[]; c8:bw=25,experts=[17,20]; c3:bw=10,experts=[20]; c6:bw=29,experts=[17,20]; c5:bw=17,experts=[20]","5.3958,5.0191,7.8404,5.5293,4.1324,4.4262,6.1789,6.1009,7.9349,7.4452"
28,2026-09-25 20:05:55,Ours,0.01,2.0098544374797824,43.87,45.14,27,61.5408,1:01.54,60.2704,0.1711,1.0982,1784.6477,29:44.65,10,"6,9,0,8,2,5,1,3,4,7",6:13;9:22;0:21;8:13;2:1;5:15;1:11;3:5;4:3;7:1,"6:[20];9:[17,20];0:[17,20];8:[20];2:[];5:[20];1:[20];3:[];4:[];7:[]","c6:bw=13,experts=[20]; c9:bw=22,experts=[17,20]; c0:bw=21,experts=[17,20]; c8:bw=13,experts=[20]; c2:bw=1,experts=[]; c5:bw=15,experts=[20]; c1:bw=11,experts=[20]; c3:bw=5,experts=[]; c4:bw=3,experts=[]; c7:bw=1,experts=[]","7.7133,4.2176,5.4855,6.2038,4.4874,7.3614,5.0251,6.0824,8.2063,5.4875"
29,2026-09-25 20:06:56,Ours,0.01,1.9885259478364143,46.55,46.55,29,61.192,1:01.19,59.9673,0.1637,1.06,1845.8644,30:45.86,10,"4,0,1,9,6,8,7,3,2,5",4:17;0:20;1:15;9:20;6:19;8:15;7:10;3:14;2:8;5:15,"4:[20];0:[17,20];1:[20];9:[17,20];6:[20];8:[20];7:[20];3:[20];2:[];5:[20]","c4:bw=17,experts=[20]; c0:bw=20,experts=[17,20]; c1:bw=15,experts=[20]; c9:bw=20,experts=[17,20]; c6:bw=19,experts=[20]; c8:bw=15,experts=[20]; c7:bw=10,experts=[20]; c3:bw=14,experts=[20]; c2:bw=8,experts=[]; c5:bw=15,experts=[20]","7.9687,5.3828,5.2181,4.0591,7.7024,6.2671,5.4210,6.0292,4.4846,7.4343"
30,2026-09-25 20:07:57,Ours,0.01,1.975728966854465,45.37,46.55,29,61.1278,1:01.13,59.8408,0.1723,1.1138,1907.016,31:47.02,10,"5,1,9,4,0,8,6,7,3,2",5:28;1:16;9:25;4:23;0:8;8:19;6:5;7:6;3:27;2:12,"5:[17,20];1:[20];9:[17,20];4:[17,20];0:[];8:[20];6:[];7:[];3:[17,20];2:[20]","c5:bw=28,experts=[17,20]; c1:bw=16,experts=[20]; c9:bw=25,experts=[17,20]; c4:bw=23,experts=[17,20]; c0:bw=8,experts=[]; c8:bw=19,experts=[20]; c6:bw=5,experts=[]; c7:bw=6,experts=[]; c3:bw=27,experts=[17,20]; c2:bw=12,experts=[20]","7.2990,5.0104,4.1039,7.9117,5.4168,6.1178,7.8057,5.4629,6.1973,4.5153"
31,2026-09-25 20:08:59,Ours,0.01,1.9668080819037779,46.51,46.55,29,61.9787,1:01.98,60.6446,0.1678,1.1653,1969.02,32:49.02,10,"6,4,9,1,5,8,3,2,0,7",6:13;4:9;9:20;1:14;5:28;8:15;3:11;2:7;0:21;7:29,"6:[20];4:[];9:[17,20];1:[20];5:[17,20];8:[20];3:[20];2:[];0:[17,20];7:[17,20]","c6:bw=13,experts=[20]; c4:bw=9,experts=[]; c9:bw=20,experts=[17,20]; c1:bw=14,experts=[20]; c5:bw=28,experts=[17,20]; c8:bw=15,experts=[20]; c3:bw=11,experts=[20]; c2:bw=7,experts=[]; c0:bw=21,experts=[17,20]; c7:bw=29,experts=[17,20]","7.9083,7.9201,4.1186,4.9658,7.3126,6.2864,5.9755,4.4428,5.8863,5.8280"
32,2026-09-25 20:10:06,Ours,0.01,1.9451893759531067,47.64,47.64,32,66.8381,1:06.84,65.5093,0.1602,1.1677,2035.8856,33:55.89,10,"8,5,4,7,0,1,3,6,2,9",8:10;5:16;4:22;7:21;0:21;1:10;3:13;6:12;2:24;9:14,"8:[0];5:[0];4:[0,1];7:[0,1];0:[0,1];1:[0];3:[1];6:[0];2:[0,1];9:[1]","c8:bw=10,experts=[0]; c5:bw=16,experts=[0]; c4:bw=22,experts=[0,1]; c7:bw=21,experts=[0,1]; c0:bw=21,experts=[0,1]; c1:bw=10,experts=[0]; c3:bw=13,experts=[1]; c6:bw=12,experts=[0]; c2:bw=24,experts=[0,1]; c9:bw=14,experts=[1]","6.8526,7.9894,8.7516,5.9695,5.8928,5.3965,6.5815,8.4512,4.9609,4.6632"
33,2026-09-25 20:11:13,Ours,0.01,1.9294983844436744,47.71,47.71,33,66.8112,1:06.81,65.4707,0.1545,1.185,2102.7228,35:02.72,10,"7,1,3,6,5,9,2,8,4,0",7:24;1:16;3:32;6:17;5:13;9:19;2:11;8:23;4:21;0:28,"7:[2,3];1:[1];3:[2,3,4];6:[1];5:[1];9:[2];2:[2];8:[1,2];4:[2,3];0:[2,3]","c7:bw=24,experts=[2,3]; c1:bw=16,experts=[1]; c3:bw=32,experts=[2,3,4]; c6:bw=17,experts=[1]; c5:bw=13,experts=[1]; c9:bw=19,experts=[2]; c2:bw=11,experts=[2]; c8:bw=23,experts=[1,2]; c4:bw=21,experts=[2,3]; c0:bw=28,experts=[2,3]","5.7721,5.4743,6.6514,8.3972,8.0470,4.4124,4.7228,6.8232,8.9740,6.1965"
