Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
54,53.48,1.8170710831718504,42.0648,0.1212,0.9264,43.1132,"3.0347,3.5684,4.3995,3.8242,4.2829,3.7633,5.6077,5.1456,2.8484,5.5903"
55,49.12,1.8050872375632767,42.2045,0.1208,0.9113,43.2374,"3.9236,3.0514,5.5210,4.3083,4.3409,5.1664,3.5869,5.5797,3.7748,2.9514"
56,50.27,1.809537403459264,43.0644,0.1207,0.9177,44.1036,"2.8452,3.8787,4.5716,3.2570,5.4334,5.5696,4.3253,3.7893,5.5249,3.8695"
57,53.83,1.8125725945092608,42.2554,0.121,0.912,43.2893,"4.3710,4.4044,5.5830,3.5659,3.8609,3.7907,5.1930,5.6361,3.0653,2.7850"
58,53.05,1.8111955791236969,42.4683,0.1242,0.9309,43.5242,"3.8534,3.1296,2.8310,5.6565,5.2346,3.5907,4.3838,5.6233,4.3574,3.8080"
59,52.17,1.8014657723523904,42.0845,0.1175,0.9063,43.114,"3.1129,4.4719,2.8230,5.5409,3.6052,5.5688,3.8617,5.1054,3.7578,4.2369"
60,53.92,1.7678982485602373,42.0128,0.1223,0.9162,43.052,"3.8303,3.8234,5.6140,3.0796,5.1502,4.3217,5.5834,2.7750,3.5649,4.2703"
61,54.93,1.7702420203860405,42.243,0.1179,0.9457,43.3074,"5.2710,5.6043,3.0500,2.7860,3.5726,4.3117,4.3758,5.6345,3.8212,3.8159"
62,51.77,1.7684323052377795,42.1805,0.12,0.9098,43.2111,"4.3810,5.6337,2.8086,5.6526,5.1536,3.7765,4.3091,3.0360,3.5706,3.8587"
63,55.52,1.7383104025738343,42.2358,0.1229,0.9371,43.2966,"5.1610,2.8301,5.5719,4.3153,4.3983,3.6033,3.8653,3.7640,3.0689,5.6577"
64,55.28,1.7359330301386875,42.1508,0.1187,0.9077,43.1781,"5.6516,5.6378,5.1899,4.2684,3.8427,3.7612,4.3557,2.8049,3.1074,3.5313"
65,51.05,1.7546734754576616,42.1769,0.1195,0.9102,43.2119,"3.8595,5.1621,5.6560,5.6127,4.4404,4.2915,3.7793,3.0093,3.5578,2.8082"
66,56.85,1.72975628990812,43.0947,0.1228,0.927,44.1452,"3.2046,5.5016,3.8636,4.5657,2.9064,5.5445,5.6345,3.7489,4.3150,3.8099"
67,55.09,1.7232590594864805,42.0957,0.119,0.9245,43.1434,"5.6675,5.2117,3.5600,4.2729,5.6112,3.7513,3.0296,2.8635,3.8230,4.3051"
68,54.74,1.7466121764774474,42.0287,0.1238,0.9158,43.0692,"3.5807,4.4011,2.9858,3.7814,4.2610,5.6172,5.2345,2.8041,3.8696,5.4932"
69,53.83,1.6992413535393454,42.2214,0.1192,0.933,43.2786,"4.3038,3.9110,3.5474,5.6271,2.8644,5.1493,3.8232,3.1064,4.3701,5.5186"
70,52.83,1.715474617558439,42.132,0.1203,0.9339,43.187,"3.5972,2.7930,3.8618,4.3137,3.8044,5.5618,3.0031,5.6792,5.1122,4.4056"
71,52.67,1.742229301353476,42.1718,0.123,0.9398,43.2353,"5.6001,3.8174,3.5910,2.8294,3.8621,5.1792,4.3204,5.5678,4.3708,3.0335"
72,56.19,1.718221320871845,42.117,0.1177,0.9337,43.1733,"4.3889,3.5908,5.1958,3.8577,5.5699,3.8136,4.2838,2.9998,2.8378,5.5790"
73,54.75,1.6883060370262697,42.0377,0.1234,0.938,43.0998,"3.0150,4.3627,4.3028,3.6077,5.1455,2.8698,3.8014,3.8146,5.5000,5.6181"
74,55.67,1.6671037558082524,41.908,0.1184,0.9342,42.9654,"4.3231,3.7963,3.5464,5.1644,3.8467,4.3322,5.5004,3.0029,5.6006,2.7949"
75,56.38,1.6753742935827671,42.3154,0.1218,0.9053,43.3433,"3.0523,2.9104,3.5997,4.3018,3.8710,5.5636,5.1863,5.6317,3.8125,4.3861"
76,56.81,1.6586181326945757,43.0329,0.1204,0.9169,44.0745,"4.6139,5.4932,4.0424,4.4813,3.0135,5.5235,3.8424,5.6281,2.8482,3.5465"
77,58.08,1.6545529322621535,42.1643,0.1201,0.908,43.1931,"2.8732,3.0385,3.5959,4.3818,5.5761,3.8234,5.5887,3.7733,4.3115,5.2018"
78,58.11,1.6575305023405829,42.1926,0.12,0.9304,43.248,"3.7815,5.6183,4.3197,3.8872,4.3799,3.5656,2.8364,5.5389,5.2337,3.0314"
79,55.47,1.6443783562641656,42.3705,0.1227,0.9371,43.431,"5.5968,2.8035,3.8062,5.7595,3.8840,4.3796,5.2028,4.3357,3.5526,3.0498"
80,56.2,1.6540487481132675,42.2307,0.1202,0.9333,43.2885,"5.2425,2.8649,3.8773,3.5630,4.3272,5.6391,3.0426,3.7647,5.5266,4.3828"
81,58.47,1.6324241026984356,42.3946,0.1244,0.9345,43.4544,"5.6456,3.0953,4.3806,3.5495,5.6115,5.1823,2.8418,3.8823,4.3920,3.8135"
82,58.7,1.6231388972735392,42.2868,0.1188,0.9287,43.3393,"3.6242,3.8123,5.5908,4.3624,3.8180,4.3433,3.0476,2.8945,5.1869,5.6068"
83,58.86,1.6130637926109372,42.2763,0.1222,0.9103,43.3096,"2.9103,5.6224,3.1186,3.8060,5.1938,3.7797,5.6386,3.5578,4.3160,4.3332"
84,55.54,1.608950754723289,42.1288,0.1212,0.9144,43.1653,"4.4572,4.3890,3.5962,5.5166,2.8216,3.0258,3.8353,5.1527,5.5876,3.7468"
85,58.92,1.6149432069263596,42.4084,0.1181,0.9569,43.4887,"3.8294,3.1121,4.4450,5.6149,3.5747,5.6925,2.9007,4.3291,5.1637,3.7464"
86,59.31,1.5899384768818856,43.172,0.1227,0.9131,44.2086,"5.6590,4.6911,3.2087,5.7004,3.7982,5.5636,3.8196,4.2670,3.6072,2.8572"
87,58.24,1.600680854127606,42.2359,0.122,0.9299,43.292,"3.5600,3.0602,3.8252,5.1630,5.6284,4.3460,5.6511,2.8340,4.3755,3.7924"
88,58.3,1.5906196806832136,42.101,0.1206,0.9096,43.132,"4.4268,5.5543,4.3037,3.8244,3.8323,5.6051,2.8609,3.5117,5.1864,2.9951"
89,55.43,1.5967977531739734,42.1019,0.1218,0.9295,43.1541,"4.3060,4.3916,3.0193,2.8123,3.8461,5.1619,3.7538,5.6260,5.6183,3.5665"
90,59.25,1.5758422316056495,42.2977,0.1188,0.9331,43.3553,"3.9117,3.5906,4.3086,2.9147,3.8781,5.5735,3.0102,5.1358,4.3632,5.6113"
91,58.39,1.585138204842503,42.4494,0.1221,0.9154,43.4877,"3.5771,2.8260,5.2381,3.8312,4.3871,5.6718,3.7462,5.5146,3.0107,4.6466"
92,59.62,1.571123065848948,44.9715,0.1285,1.0136,46.1144,"4.3082,3.8126,3.5696,3.8247,4.4380,5.6862,3.3202,3.4995,6.0461,6.4664"
93,60.17,1.5687891275122368,44.2931,0.121,0.9757,45.3906,"3.7847,4.7310,3.9788,3.0024,5.8903,4.5606,5.3301,5.8842,3.9231,3.2079"
94,60.05,1.5585218746099525,44.3064,0.1266,0.9726,45.4112,"4.0552,3.2218,5.4101,5.9622,5.7747,3.0021,3.7598,4.6424,4.0566,4.4216"
95,58.93,1.5483849669308214,44.2238,0.1259,1.0101,45.3607,"4.0456,2.9369,5.8305,5.6590,3.9050,4.4163,3.6618,4.7309,3.4160,5.6218"
96,60.06,1.5530018036926792,44.4364,0.127,0.9533,45.5222,"3.4023,2.9831,4.6617,3.7298,5.4584,5.8629,5.7935,3.9744,3.8932,4.6771"
97,60.75,1.5445985290057058,44.5667,0.1288,0.9308,45.6271,"3.9827,3.0402,4.7123,5.9248,4.0338,3.7782,4.4817,5.5734,5.8302,3.2093"
98,54.16,1.5352656616487323,43.9825,0.1217,0.9108,45.0158,"6.0132,4.6659,3.0167,4.0634,5.8270,5.3965,3.9136,4.3807,3.6114,3.0940"
99,58.6,1.5485359492166888,43.4457,0.1223,0.9362,44.5091,"4.5468,5.3978,3.9051,3.6465,4.3825,2.9111,5.7934,3.9654,3.1429,5.7541"
100,57.48,1.5381268134992665,44.5256,0.1271,1.0276,45.681,"3.2244,4.5626,2.9357,5.3685,5.8678,3.6896,6.0554,4.1112,4.6761,4.0344"
