Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
68,57.64,1.623328376269696,46.6553,1.5561,1.033,49.2452,"3.9700,5.2370,3.4788,4.2537,4.6492,6.0959,5.6261,3.2072,4.1637,5.9737"
69,57.27,1.597970769871044,46.8606,1.661,1.0394,49.5618,"4.6693,4.2443,3.9510,6.1425,3.2731,5.6123,4.2545,3.4410,5.2577,6.0150"
70,57.24,1.616046300874452,46.6645,1.5842,1.0579,49.3109,"3.9454,3.2434,4.2039,4.6530,4.2436,5.9831,3.4610,6.0987,5.5990,5.2335"
71,58.38,1.5953551905939742,46.7244,1.6959,1.0419,49.463,"6.1147,4.2713,3.9520,3.2271,4.2028,5.6306,4.6472,6.0046,5.2207,3.4534"
72,58.1,1.5832332633923984,46.7717,1.5297,1.0393,49.3444,"5.2430,3.9837,5.6622,4.2043,5.9975,4.2751,4.6446,3.4474,3.2332,6.0809"
73,58.48,1.572655551862651,46.6972,1.6013,1.0305,49.3298,"3.4772,5.2376,4.6912,3.9644,5.6145,3.2474,4.2278,4.1764,5.9800,6.0807"
74,57.61,1.5697409657654924,46.8883,1.584,1.0363,49.5123,"4.6587,4.2759,3.9443,5.7457,4.2452,5.2282,6.0216,3.4339,6.0808,3.2541"
75,59.09,1.5677791596733326,46.7562,1.7873,1.01,49.5543,"3.4751,3.2673,3.9497,4.6599,4.2217,6.0064,5.6017,6.0829,4.2340,5.2575"
76,58.69,1.5650761787237506,46.7669,1.6655,1.0347,49.468,"5.2299,5.6369,4.2683,4.6734,3.4549,6.0338,4.1879,6.0837,3.2634,3.9347"
77,59.16,1.562260016672267,46.6436,1.6279,1.0361,49.3109,"3.2534,3.4742,3.9630,5.2187,6.0798,4.1921,5.9909,4.2228,4.6352,5.6135"
78,58.56,1.5445017882121876,46.7805,1.6717,1.0444,49.4974,"4.2813,6.1034,4.6670,4.1988,5.2442,3.9474,3.2626,6.0135,5.6153,3.4469"
79,58.52,1.5587314631682534,46.6711,1.658,1.0293,49.3594,"5.9886,3.2549,4.2565,6.0784,4.1999,5.2504,5.6341,4.6125,3.9464,3.4493"
80,58.84,1.5348771512135062,46.814,1.7232,1.0257,49.5637,"5.6536,3.2778,4.2167,3.9547,4.6558,6.1328,3.4410,4.2716,5.9707,5.2393"
81,59.36,1.5311612640612415,46.7895,1.7402,1.0376,49.5682,"6.0363,3.4788,4.6917,3.9643,6.0939,5.6004,3.2384,4.1906,5.2249,4.2701"
82,58.86,1.52533971409368,46.8577,1.7055,1.0392,49.6052,"3.9563,4.2768,6.0232,5.2510,4.2152,4.6492,3.4746,3.2635,5.6353,6.1125"
83,60.02,1.5202025507804535,46.7858,1.5968,1.0231,49.4065,"3.2682,6.1178,3.4533,4.2314,5.6298,4.2762,6.0321,3.9452,5.1886,4.6432"
84,59.3,1.5144617977713517,46.8004,1.5324,1.045,49.3785,"5.3046,4.6976,3.9616,5.9945,3.2324,3.4529,4.2069,5.6106,6.0945,4.2447"
85,60.01,1.5119052935552306,46.704,1.7205,1.0561,49.4816,"4.2661,3.4594,5.2537,5.9727,3.9407,6.0927,3.2637,4.6516,5.6180,4.1854"
86,59.22,1.5043699256118432,46.8995,1.6497,1.0229,49.5758,"5.6905,5.2410,3.4699,6.0395,4.2917,6.0875,4.1997,4.6102,4.0129,3.2566"
87,59.32,1.5066147789437343,46.7031,1.6968,1.0213,49.422,"3.9451,3.4666,4.2182,5.6146,6.0365,4.6543,6.0401,3.2528,5.2273,4.2476"
88,59.95,1.493923524784473,46.8108,1.6279,1.033,49.4724,"5.2556,6.0376,4.6717,4.1969,4.2879,6.1184,3.2351,3.9484,5.6114,3.4478"
89,60.23,1.4969882688795426,46.7061,1.6934,1.0427,49.443,"4.6617,5.3304,3.4929,3.2411,4.1996,5.6189,4.2087,5.9644,6.0625,3.9261"
90,59.8,1.4814646168293637,46.6708,1.7328,1.0441,49.4486,"4.2376,3.9672,4.6615,3.2458,4.2575,5.9728,3.4417,5.6212,5.2216,6.0437"
91,60.78,1.4866312026670698,46.6726,1.6535,1.0435,49.3704,"3.9464,3.2605,5.6089,4.2179,4.6461,6.0835,4.2671,5.9844,3.4572,5.2006"
92,60.29,1.472989949427457,46.673,1.5912,1.0575,49.3225,"4.6798,4.2361,3.9443,4.2620,5.2164,5.9835,3.2211,3.4464,5.6012,6.0820"
93,60.77,1.4694358495454547,46.7198,1.5356,1.0384,49.2945,"3.9376,4.6747,4.2347,3.2441,6.0488,5.2258,5.6095,6.0410,4.2486,3.4551"
94,60.3,1.46278071020825,46.8296,1.7347,1.0345,49.5996,"4.2356,3.4603,5.7223,6.1010,6.0171,3.2493,3.9361,5.2024,4.2536,4.6519"
95,60.88,1.4693948479509382,46.7869,1.657,1.0346,49.4793,"4.2178,3.2597,6.0837,6.0061,4.2608,4.6388,3.9391,5.3192,3.4577,5.6039"
96,60.66,1.4610854614679998,46.7752,1.8061,1.0274,49.6118,"3.4834,3.2749,4.6592,3.9547,5.6189,6.0980,5.9841,4.1944,4.2498,5.2578"
97,60.71,1.453903237300988,47.0829,1.6858,1.0424,49.8119,"4.2890,3.2620,5.2946,6.1996,4.2799,3.9924,4.6812,5.6283,6.0078,3.4481"
98,60.75,1.4602164925374406,46.8993,1.6025,1.0339,49.5366,"6.1962,5.3126,3.2674,4.2094,6.0263,5.6142,4.2434,4.6320,3.9550,3.4427"
99,60.91,1.4421974963515845,46.6876,1.6551,1.0472,49.3907,"5.2297,5.6473,4.2150,3.9636,4.6654,3.2453,6.0417,4.2507,3.4313,5.9977"
100,60.37,1.46749348263402,46.5851,1.6761,1.0513,49.3132,"3.4570,5.2528,3.2458,5.6208,5.9961,3.9139,6.0580,4.1652,4.6341,4.2413"
