Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
85,37.74,1.5555453761399345,62.9852,0.1671,1.131,64.2843,"5.7020,4.5990,6.5728,8.4198,5.4279,8.2541,4.3652,6.4107,7.6298,5.6039"
86,53.77,1.568908609919092,63.2541,0.1835,1.1106,64.5491,"7.6475,6.6604,4.8469,8.3154,5.9095,8.3571,5.6331,6.2581,5.3637,4.2624"
87,56.58,1.5418419795690692,63.6239,0.1921,1.2087,65.0257,"5.3452,4.7405,6.0262,7.9165,8.2766,6.2501,8.3741,4.3021,6.4966,5.8959"
88,56.79,1.5331005588938855,60.1834,0.1694,1.0698,61.4236,"6.7889,8.3111,6.3316,5.4003,5.2338,7.6169,3.9168,5.0045,7.2301,4.3493"
89,59.09,1.5304066555822324,58.031,0.1712,1.0754,59.2786,"5.7343,5.9922,4.2497,4.0037,5.2333,7.1257,5.4429,7.7083,7.6340,4.9068"
90,59.6,1.5141715957719462,58.2303,0.1555,1.0694,59.456,"5.2552,4.8648,5.8829,4.0357,5.4198,7.7835,4.2999,7.0440,5.9751,7.6693"
91,59.89,1.5072683479232227,57.5759,0.159,1.0579,58.7936,"4.8642,4.0212,7.1502,5.3196,5.6972,7.6360,5.2757,7.4609,4.2216,5.9292"
92,60.06,1.5082965894510896,58.3327,0.1623,1.0932,59.5891,"5.8850,5.4289,4.8935,5.2732,6.0249,7.5844,4.0035,4.2593,7.1016,7.8782"
93,60.15,1.497106209809259,57.7871,0.1631,1.0436,58.9949,"4.8941,5.7757,5.1723,3.9708,7.5779,5.9819,7.0036,7.8659,5.3009,4.2440"
94,60.37,1.4897262784626115,57.9902,0.1668,1.0539,59.2119,"5.1748,4.2729,6.9872,7.5821,7.8797,4.0940,4.9191,6.0731,5.2704,5.7367"
95,60.47,1.4854747929061902,57.456,0.1651,1.0599,58.682,"5.1740,3.9361,7.5736,7.5761,5.4432,5.7977,4.8740,5.9284,4.2022,6.9508"
96,60.22,1.4739054145364636,57.3383,0.1736,1.0423,58.5552,"4.1782,3.8886,5.7988,4.9240,7.0774,7.6663,7.4870,5.1926,5.2082,5.9172"
97,60.18,1.4744894463652705,57.9845,0.1714,1.0926,59.2495,"5.3544,4.0936,6.0951,7.5935,5.1787,4.8507,5.8353,7.0109,7.5957,4.3767"
98,52.56,1.4700232014006906,58.2597,0.1711,1.0692,59.501,"7.7497,6.0197,3.9696,5.2237,7.5251,7.0874,5.3888,5.9595,4.9733,4.3630"
99,42.52,1.4746135432686878,58.0256,0.1643,1.0773,59.2681,"6.0104,7.0381,5.1847,4.8543,5.7896,3.9657,7.8713,5.4403,4.2517,7.6195"
100,52.98,1.4916443279560496,57.5961,0.1752,1.0605,58.8327,"4.2580,6.0036,3.9810,6.9788,7.6384,5.0216,7.6635,5.1289,5.6854,5.2367"
