Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
13,2026-09-25 19:52:03,Ours,0.01,2.307582666764059,28.41,28.41,13,70.7483,1:10.75,69.22,0.1712,1.3511,952.4239,15:52.42,10,"3,1,4,5,8,6,9,7,0,2",3:14;1:22;4:2;5:13;8:7;6:17;9:7;7:27;0:12;2:7,"3:[4];1:[4,6];4:[];5:[4];8:[];6:[4];9:[];7:[4,6];0:[4];2:[]","c3:bw=14,experts=[4]; c1:bw=22,experts=[4,6]; c4:bw=2,experts=[]; c5:bw=13,experts=[4]; c8:bw=7,experts=[]; c6:bw=17,experts=[4]; c9:bw=7,experts=[]; c7:bw=27,experts=[4,6]; c0:bw=12,experts=[4]; c2:bw=7,experts=[]","6.8533,5.9289,9.1276,8.2967,7.1626,9.2254,4.9876,6.2238,6.3438,5.0702"
14,2026-09-25 19:53:14,Ours,0.01,2.2655490858203606,32.03,32.03,14,70.8319,1:10.83,69.2811,0.1703,1.3789,1023.2731,17:03.27,10,"2,4,5,1,7,0,9,3,8,6",2:20;4:3;5:29;1:18;7:11;0:12;9:14;3:21;8:10;6:31,"2:[4,26];4:[];5:[4,26];1:[4];7:[4];0:[4];9:[4];3:[4,6];8:[4];6:[4,6,26]","c2:bw=20,experts=[4,26]; c4:bw=3,experts=[]; c5:bw=29,experts=[4,26]; c1:bw=18,experts=[4]; c7:bw=11,experts=[4]; c0:bw=12,experts=[4]; c9:bw=14,experts=[4]; c3:bw=21,experts=[4,6]; c8:bw=10,experts=[4]; c6:bw=31,experts=[4,6,26]","5.1329,9.0200,8.5173,5.9424,6.3955,6.4242,4.6617,6.9674,7.1586,9.0611"
15,2026-09-25 19:54:24,Ours,0.01,2.216786480409998,30.95,32.03,14,70.6958,1:10.70,69.1985,0.1782,1.3136,1093.9868,18:13.99,10,"7,0,1,8,3,2,4,5,9,6",7:27;0:9;1:7;8:24;3:5;2:24;4:21;5:8;9:9;6:15,"7:[4,6];0:[];1:[];8:[4,6];3:[];2:[4,6];4:[4,6];5:[];9:[];6:[4]","c7:bw=27,experts=[4,6]; c0:bw=9,experts=[]; c1:bw=7,experts=[]; c8:bw=24,experts=[4,6]; c3:bw=5,experts=[]; c2:bw=24,experts=[4,6]; c4:bw=21,experts=[4,6]; c5:bw=8,experts=[]; c9:bw=9,experts=[]; c6:bw=15,experts=[4]","6.2943,6.2764,5.8145,7.2695,7.0430,4.9554,9.2016,8.6168,4.7929,8.9341"
16,2026-09-25 19:55:35,Ours,0.01,2.1802109054555947,35.95,35.95,16,70.0617,1:10.06,68.5679,0.1669,1.3254,1164.0668,19:24.07,10,"6,1,3,8,7,5,4,9,0,2",6:18;1:13;3:20;8:22;7:10;5:18;4:16;9:11;0:26;2:24,"6:[4];1:[4];3:[4,26];8:[4,6];7:[4];5:[4];4:[4];9:[4];0:[4,6];2:[4,6]","c6:bw=18,experts=[4]; c1:bw=13,experts=[4]; c3:bw=20,experts=[4,26]; c8:bw=22,experts=[4,6]; c7:bw=10,experts=[4]; c5:bw=18,experts=[4]; c4:bw=16,experts=[4]; c9:bw=11,experts=[4]; c0:bw=26,experts=[4,6]; c2:bw=24,experts=[4,6]","8.9465,5.7970,6.9364,7.2044,6.2934,8.2796,9.1374,4.6657,6.1776,5.1298"
17,2026-09-25 19:56:45,Ours,0.01,2.140607210726243,35.72,35.95,16,70.5822,1:10.58,69.065,0.1631,1.3499,1234.6656,20:34.67,10,"4,7,8,3,5,1,0,2,9,6",4:26;7:11;8:4;3:24;5:1;1:13;0:5;2:9;9:17;6:18,"4:[4,6];7:[4];8:[];3:[4,6];5:[];1:[4];0:[];2:[];9:[4];6:[4]","c4:bw=26,experts=[4,6]; c7:bw=11,experts=[4]; c8:bw=4,experts=[]; c3:bw=24,experts=[4,6]; c5:bw=1,experts=[]; c1:bw=13,experts=[4]; c0:bw=5,experts=[]; c2:bw=9,experts=[]; c9:bw=17,experts=[4]; c6:bw=18,experts=[4]","9.3794,6.2686,7.0523,6.9802,8.2988,5.8194,6.2235,5.1585,4.9402,8.9441"
18,2026-09-25 19:57:55,Ours,0.01,2.105364156882116,38.68,38.68,18,69.7428,1:09.74,68.2441,0.1714,1.3258,1304.4244,21:44.42,10,"1,8,5,2,9,7,4,3,0,6",1:3;8:2;5:16;2:17;9:9;7:25;4:25;3:17;0:22;6:14,"1:[];8:[];5:[4];2:[4];9:[];7:[4,6];4:[4,6];3:[4];0:[4,6];6:[4]","c1:bw=3,experts=[]; c8:bw=2,experts=[]; c5:bw=16,experts=[4]; c2:bw=17,experts=[4]; c9:bw=9,experts=[]; c7:bw=25,experts=[4,6]; c4:bw=25,experts=[4,6]; c3:bw=17,experts=[4]; c0:bw=22,experts=[4,6]; c6:bw=14,experts=[4]","5.7612,6.9751,8.2952,4.9666,4.8885,6.3810,8.9427,6.9040,6.1773,8.9524"
19,2026-09-25 19:59:05,Ours,0.01,2.066666646133632,40.7,40.7,19,70.3186,1:10.32,68.8003,0.1633,1.3534,1374.762,22:54.76,10,"8,0,4,1,9,5,7,2,6,3",8:25;0:19;4:23;1:21;9:17;5:13;7:10;2:6;6:30;3:18,"8:[4,26];0:[4];4:[4,26];1:[4,26];9:[4];5:[4];7:[4];2:[];6:[4,6,26];3:[4]","c8:bw=25,experts=[4,26]; c0:bw=19,experts=[4]; c4:bw=23,experts=[4,26]; c1:bw=21,experts=[4,26]; c9:bw=17,experts=[4]; c5:bw=13,experts=[4]; c7:bw=10,experts=[4]; c2:bw=6,experts=[]; c6:bw=30,experts=[4,6,26]; c3:bw=18,experts=[4]","7.0571,6.4359,9.0621,5.8124,4.7545,8.3309,6.2533,5.0363,9.2309,6.8269"
20,2026-09-25 20:00:16,Ours,0.01,2.0376814783694264,40.28,40.7,19,70.3934,1:10.39,68.881,0.1599,1.351,1445.1796,24:05.18,10,"0,2,1,9,7,6,3,5,4,8",0:13;2:19;1:18;9:8;7:19;6:31;3:8;5:2;4:27;8:23,"0:[4];2:[4];1:[4];9:[];7:[4];6:[4,6,26];3:[];5:[];4:[4,6];8:[4,6]","c0:bw=13,experts=[4]; c2:bw=19,experts=[4]; c1:bw=18,experts=[4]; c9:bw=8,experts=[]; c7:bw=19,experts=[4]; c6:bw=31,experts=[4,6,26]; c3:bw=8,experts=[]; c5:bw=2,experts=[]; c4:bw=27,experts=[4,6]; c8:bw=23,experts=[4,6]","6.2583,4.9803,5.8025,4.7606,6.2054,9.1904,6.9538,8.4369,9.0412,7.2516"
21,2026-09-25 20:01:26,Ours,0.01,2.004796752509245,38.45,40.7,19,70.2643,1:10.26,68.7873,0.1771,1.2949,1515.464,25:15.46,10,"1,2,7,4,8,5,0,3,6,9",1:19;2:18;7:6;4:22;8:8;5:15;0:30;3:3;6:7;9:12,"1:[4];2:[4];7:[];4:[4,6];8:[];5:[4];0:[4,6,26];3:[];6:[];9:[4]","c1:bw=19,experts=[4]; c2:bw=18,experts=[4]; c7:bw=6,experts=[]; c4:bw=22,experts=[4,6]; c8:bw=8,experts=[]; c5:bw=15,experts=[4]; c0:bw=30,experts=[4,6,26]; c3:bw=3,experts=[]; c6:bw=7,experts=[]; c9:bw=12,experts=[4]","5.6573,5.1960,6.4169,8.9562,7.1187,8.3412,6.2645,6.7560,9.2037,4.8768"
22,2026-09-25 20:02:36,Ours,0.01,1.9892564282476237,41.61,41.61,22,70.2812,1:10.28,68.7324,0.1806,1.3666,1585.7644,26:25.76,10,"7,9,1,6,5,2,0,4,3,8",7:7;9:15;1:3;6:28;5:8;2:30;0:30;4:17;3:25;8:15,"7:[];9:[4];1:[];6:[4,6];5:[];2:[4,6,26];0:[4,6,26];4:[4];3:[4,26];8:[4]","c7:bw=7,experts=[]; c9:bw=15,experts=[4]; c1:bw=3,experts=[]; c6:bw=28,experts=[4,6]; c5:bw=8,experts=[]; c2:bw=30,experts=[4,6,26]; c0:bw=30,experts=[4,6,26]; c4:bw=17,experts=[4]; c3:bw=25,experts=[4,26]; c8:bw=15,experts=[4]","6.1985,4.7562,5.8046,8.9671,8.2520,5.1397,6.4663,9.0702,6.9391,7.1387"
23,2026-09-25 20:03:47,Ours,0.01,1.9612353739697777,41.68,41.68,23,70.3395,1:10.34,68.7752,0.174,1.3888,1656.1256,27:36.13,10,"5,7,4,6,9,8,3,1,2,0",5:24;7:7;4:25;6:5;9:23;8:16;3:7;1:28;2:15;0:5,"5:[4,6];7:[];4:[4,6];6:[];9:[4,6];8:[4];3:[];1:[4,6];2:[4];0:[]","c5:bw=24,experts=[4,6]; c7:bw=7,experts=[]; c4:bw=25,experts=[4,6]; c6:bw=5,experts=[]; c9:bw=23,experts=[4,6]; c8:bw=16,experts=[4]; c3:bw=7,experts=[]; c1:bw=28,experts=[4,6]; c2:bw=15,experts=[4]; c0:bw=5,experts=[]","8.3207,6.0274,9.3536,8.9419,4.7181,7.0757,6.9984,5.8907,4.9923,6.4565"
24,2026-09-25 20:04:57,Ours,0.01,1.9369364354091314,40.27,41.68,23,70.1292,1:10.13,68.6207,0.1544,1.3527,1726.2763,28:46.28,10,"6,4,7,9,2,1,5,8,3,0",6:14;4:6;7:2;9:23;2:20;1:1;5:11;8:8;3:1;0:14,"6:[4];4:[];7:[];9:[4,6];2:[4,26];1:[];5:[4];8:[];3:[];0:[4]","c6:bw=14,experts=[4]; c4:bw=6,experts=[]; c7:bw=2,experts=[]; c9:bw=23,experts=[4,6]; c2:bw=20,experts=[4,26]; c1:bw=1,experts=[]; c5:bw=11,experts=[4]; c8:bw=8,experts=[]; c3:bw=1,experts=[]; c0:bw=14,experts=[4]","8.9899,9.0474,6.0864,4.7199,5.1408,5.7527,8.4191,7.3105,6.8145,6.3393"
25,2026-09-25 20:06:07,Ours,0.01,1.9225686173784584,45.39,45.39,25,70.002,1:10.00,68.5041,0.1615,1.3316,1796.3006,29:56.30,10,"9,6,4,3,5,1,8,2,0,7",9:18;6:7;4:27;3:6;5:29;1:22;8:25;2:6;0:26;7:18,"9:[4];6:[];4:[4,6];3:[];5:[4,6];1:[4,6];8:[4,6];2:[];0:[4,6];7:[4]","c9:bw=18,experts=[4]; c6:bw=7,experts=[]; c4:bw=27,experts=[4,6]; c3:bw=6,experts=[]; c5:bw=29,experts=[4,6]; c1:bw=22,experts=[4,6]; c8:bw=25,experts=[4,6]; c2:bw=6,experts=[]; c0:bw=26,experts=[4,6]; c7:bw=18,experts=[4]","4.5757,8.9271,9.0579,7.1400,8.3865,5.7756,7.1203,4.9650,6.4092,6.1467"
26,2026-09-25 20:07:17,Ours,0.01,1.8973925409974643,47.18,47.18,26,70.5655,1:10.57,69.0164,0.1868,1.3608,1866.8859,31:06.89,10,"3,6,9,7,1,5,2,8,0,4",3:20;6:15;9:23;7:14;1:15;5:9;2:14;8:24;0:5;4:22,"3:[4,26];6:[4];9:[4,6];7:[4];1:[4];5:[];2:[4];8:[4,6];0:[];4:[4,6]","c3:bw=20,experts=[4,26]; c6:bw=15,experts=[4]; c9:bw=23,experts=[4,6]; c7:bw=14,experts=[4]; c1:bw=15,experts=[4]; c5:bw=9,experts=[]; c2:bw=14,experts=[4]; c8:bw=24,experts=[4,6]; c0:bw=5,experts=[]; c4:bw=22,experts=[4,6]","6.9812,9.1438,4.7849,6.1988,5.6998,8.4000,5.1270,7.0812,6.4755,9.1240"
27,2026-09-25 20:08:28,Ours,0.01,1.877118991571957,46.9,47.18,26,71.0385,1:11.04,69.5269,0.184,1.3259,1937.9496,32:17.95,10,"7,1,4,0,9,2,8,3,6,5",7:23;1:28;4:6;0:16;9:8;2:9;8:25;3:10;6:29;5:17,"7:[4,6];1:[4,6];4:[];0:[4];9:[];2:[];8:[4,26];3:[4];6:[4,26];5:[4]","c7:bw=23,experts=[4,6]; c1:bw=28,experts=[4,6]; c4:bw=6,experts=[]; c0:bw=16,experts=[4]; c9:bw=8,experts=[]; c2:bw=9,experts=[]; c8:bw=25,experts=[4,26]; c3:bw=10,experts=[4]; c6:bw=29,experts=[4,26]; c5:bw=17,experts=[4]","6.2028,5.7330,9.1098,6.2520,4.6733,5.3546,7.2506,6.8179,9.0330,9.0998"
28,2026-09-25 20:09:40,Ours,0.01,1.8591167135465105,47.0,47.18,26,71.0679,1:11.07,69.4691,0.1923,1.4004,2009.0389,33:29.04,10,"6,9,0,8,2,5,1,3,4,7",6:13;9:22;0:21;8:13;2:1;5:15;1:11;3:5;4:3;7:1,"6:[4];9:[4,6];0:[4,6];8:[4];2:[];5:[4];1:[4];3:[];4:[];7:[]","c6:bw=13,experts=[4]; c9:bw=22,experts=[4,6]; c0:bw=21,experts=[4,6]; c8:bw=13,experts=[4]; c2:bw=1,experts=[]; c5:bw=15,experts=[4]; c1:bw=11,experts=[4]; c3:bw=5,experts=[]; c4:bw=3,experts=[]; c7:bw=1,experts=[]","8.8569,4.9037,6.4409,7.0997,5.2810,8.3905,5.7974,7.0196,9.2072,6.4721"
29,2026-09-25 20:10:50,Ours,0.01,1.8483325458924333,49.73,49.73,29,70.491,1:10.49,68.9402,0.1853,1.364,2079.5523,34:39.55,10,"4,0,1,9,6,8,7,3,2,5",4:17;0:20;1:15;9:20;6:19;8:15;7:10;3:14;2:8;5:15,"4:[4];0:[4,6];1:[4];9:[4,6];6:[4];8:[4];7:[4];3:[4];2:[];5:[4]","c4:bw=17,experts=[4]; c0:bw=20,experts=[4,6]; c1:bw=15,experts=[4]; c9:bw=20,experts=[4,6]; c6:bw=19,experts=[4]; c8:bw=15,experts=[4]; c7:bw=10,experts=[4]; c3:bw=14,experts=[4]; c2:bw=8,experts=[]; c5:bw=15,experts=[4]","9.0587,6.2838,5.7826,4.6675,9.0742,7.2692,6.4281,6.9904,4.9697,8.4160"
30,2026-09-25 20:12:01,Ours,0.01,1.8275533908168042,48.27,49.73,29,70.5266,1:10.53,68.9692,0.1772,1.3786,2150.1007,35:50.10,10,"5,1,9,4,0,8,6,7,3,2",5:28;1:16;9:25;4:23;0:8;8:19;6:5;7:6;3:27;2:12,"5:[4,6];1:[4];9:[4,6];4:[4,6];0:[];8:[4];6:[];7:[];3:[4,26];2:[4]","c5:bw=28,experts=[4,6]; c1:bw=16,experts=[4]; c9:bw=25,experts=[4,6]; c4:bw=23,experts=[4,6]; c0:bw=8,experts=[]; c8:bw=19,experts=[4]; c6:bw=5,experts=[]; c7:bw=6,experts=[]; c3:bw=27,experts=[4,26]; c2:bw=12,experts=[4]","8.4063,5.7988,4.7878,9.3638,6.2546,7.0690,8.9831,6.1795,6.9775,5.1487"
31,2026-09-25 20:13:11,Ours,0.01,1.811047978470096,50.04,50.04,31,70.6005,1:10.60,69.0516,0.1851,1.3622,2220.7243,37:00.72,10,"6,4,9,1,5,8,3,2,0,7",6:13;4:9;9:20;1:14;5:28;8:15;3:11;2:7;0:21;7:29,"6:[4];4:[];9:[4,26];1:[4];5:[4,26];8:[4];3:[4];2:[];0:[4,6];7:[4,6]","c6:bw=13,experts=[4]; c4:bw=9,experts=[]; c9:bw=20,experts=[4,26]; c1:bw=14,experts=[4]; c5:bw=28,experts=[4,26]; c8:bw=15,experts=[4]; c3:bw=11,experts=[4]; c2:bw=7,experts=[]; c0:bw=21,experts=[4,6]; c7:bw=29,experts=[4,6]","9.1020,9.1825,4.6662,5.8107,8.3437,7.0869,7.1005,5.2331,6.3449,6.1811"
32,2026-09-25 20:14:22,Ours,0.01,1.792598722156659,50.87,50.87,32,70.5668,1:10.57,69.0572,0.1692,1.3389,2291.3153,38:11.32,10,"8,5,4,7,0,1,3,6,2,9",8:10;5:16;4:22;7:21;0:21;1:10;3:13;6:12;2:24;9:14,"8:[0];5:[0];4:[0,1];7:[0,1];0:[0,1];1:[0];3:[0];6:[0];2:[0,1];9:[0]","c8:bw=10,experts=[0]; c5:bw=16,experts=[0]; c4:bw=22,experts=[0,1]; c7:bw=21,experts=[0,1]; c0:bw=21,experts=[0,1]; c1:bw=10,experts=[0]; c3:bw=13,experts=[0]; c6:bw=12,experts=[0]; c2:bw=24,experts=[0,1]; c9:bw=14,experts=[0]","7.1985,8.4228,9.1109,6.3290,6.3740,5.7466,6.9026,9.0333,5.0731,4.8664"
33,2026-09-25 20:15:33,Ours,0.01,1.7825214510634702,51.15,51.15,33,70.7899,1:10.79,69.185,0.1679,1.4355,2362.1265,39:22.13,10,"7,1,3,6,5,9,2,8,4,0",7:24;1:16;3:32;6:17;5:13;9:19;2:11;8:23;4:21;0:28,"7:[2,3];1:[1];3:[1,2,3];6:[1];5:[1];9:[1];2:[2];8:[1,2];4:[2,3];0:[2,3]","c7:bw=24,experts=[2,3]; c1:bw=16,experts=[1]; c3:bw=32,experts=[1,2,3]; c6:bw=17,experts=[1]; c5:bw=13,experts=[1]; c9:bw=19,experts=[1]; c2:bw=11,experts=[2]; c8:bw=23,experts=[1,2]; c4:bw=21,experts=[2,3]; c0:bw=28,experts=[2,3]","6.2446,5.8879,6.9935,8.8917,8.3969,4.7359,5.1346,7.1954,9.4857,6.2187"
