Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
35,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
36,9,3,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
36,0,3,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
36,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
36,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
37,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
37,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
37,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
37,4,3,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
37,3,3,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
37,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,1,3,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
38,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
38,3,3,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
38,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
39,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
39,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
39,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
39,2,3,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
39,4,3,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
39,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
40,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
40,5,3,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
40,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
40,4,1,105,6664,1,1,1.0,1.0,1.0,1.0,1.0,1.0
40,0,3,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
41,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
41,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
42,6,3,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
42,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
42,7,2,71,4512,16,0,1.0,1.0,1.0,1.0,1.0,1.0
