Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
23,2026-09-18 08:52:28,Ours,0.01,0.8632376871527754,70.7,70.7,23,49.8768,0:49.88,48.6469,0.1273,1.1013,1150.9399,19:10.94,10,"5,7,4,6,9,8,3,1,2,0",5:29;7:10;4:31;6:10;9:28;8:19;3:10;1:34;2:18;0:10,"5:[0,2];7:[0];4:[0,1,2];6:[0];9:[0,2];8:[0];3:[0];1:[0,1,2];2:[0];0:[0]","c5:bw=29,experts=[0,2]; c7:bw=10,experts=[0]; c4:bw=31,experts=[0,1,2]; c6:bw=10,experts=[0]; c9:bw=28,experts=[0,2]; c8:bw=19,experts=[0]; c3:bw=10,experts=[0]; c1:bw=34,experts=[0,1,2]; c2:bw=18,experts=[0]; c0:bw=10,experts=[0]","5.5583,3.3930,2.7516,1.7225,4.6423,6.2719,0.5384,17.7495,0.2536,5.7659"
24,2026-09-18 08:53:18,Ours,0.01,0.8632632012445993,69.03,70.7,23,49.9651,0:49.97,48.7098,0.1278,1.1263,1200.9205,20:00.92,10,"6,4,7,9,2,1,5,8,3,0",6:17;4:10;7:10;9:28;2:24;1:10;5:14;8:10;3:10;0:17,"6:[0];4:[0];7:[0];9:[0,2];2:[0,2];1:[0];5:[0];8:[0];3:[0];0:[0]","c6:bw=17,experts=[0]; c4:bw=10,experts=[0]; c7:bw=10,experts=[0]; c9:bw=28,experts=[0,2]; c2:bw=24,experts=[0,2]; c1:bw=10,experts=[0]; c5:bw=14,experts=[0]; c8:bw=10,experts=[0]; c3:bw=10,experts=[0]; c0:bw=17,experts=[0]","1.7374,2.6954,3.3691,4.6126,0.2534,17.7746,5.5900,6.3128,0.5420,5.8225"
25,2026-09-18 08:54:08,Ours,0.01,0.8555754853784217,72.32,72.32,25,49.9583,0:49.96,48.7125,0.1259,1.1187,1250.8992,20:50.90,10,"9,6,4,3,5,1,8,2,0,7",9:22;6:10;4:32;3:10;5:35;1:27;8:30;2:10;0:31;7:22,"9:[0,2];6:[0];4:[0,1,2];3:[0];5:[0,1,2];1:[0,2];8:[0,1,2];2:[0];0:[0,1,2];7:[0,2]","c9:bw=22,experts=[0,2]; c6:bw=10,experts=[0]; c4:bw=32,experts=[0,1,2]; c3:bw=10,experts=[0]; c5:bw=35,experts=[0,1,2]; c1:bw=27,experts=[0,2]; c8:bw=30,experts=[0,1,2]; c2:bw=10,experts=[0]; c0:bw=31,experts=[0,1,2]; c7:bw=22,experts=[0,2]","4.6562,1.7367,2.7499,0.5435,5.5043,17.7648,6.3194,0.2520,5.8137,3.3722"
26,2026-09-18 08:54:59,Ours,0.01,0.8545132288881334,72.1,72.32,25,50.1755,0:50.18,48.9373,0.1306,1.1064,1301.0909,21:41.09,10,"3,6,9,7,1,5,2,8,0,4",3:25;6:19;9:28;7:17;1:18;5:11;2:17;8:30;0:10;4:26,"3:[0,2];6:[0];9:[0,2];7:[0];1:[0];5:[0];2:[0];8:[0,1,2];0:[0];4:[0,2]","c3:bw=25,experts=[0,2]; c6:bw=19,experts=[0]; c9:bw=28,experts=[0,2]; c7:bw=17,experts=[0]; c1:bw=18,experts=[0]; c5:bw=11,experts=[0]; c2:bw=17,experts=[0]; c8:bw=30,experts=[0,1,2]; c0:bw=10,experts=[0]; c4:bw=26,experts=[0,2]","0.5457,1.7426,4.6339,3.3685,17.8435,5.5697,0.3325,6.3310,5.8076,2.7623"
27,2026-09-18 08:55:49,Ours,0.01,0.8478115871087247,72.67,72.67,27,50.0899,0:50.09,48.8575,0.1296,1.1016,1351.1986,22:31.20,10,"7,1,4,0,9,2,8,3,6,5",7:29;1:34;4:10;0:20;9:10;2:11;8:31;3:12;6:35;5:20,"7:[0,2];1:[0,1,2];4:[0];0:[0,2];9:[0];2:[0];8:[0,1,2];3:[0];6:[0,1,2];5:[0,2]","c7:bw=29,experts=[0,2]; c1:bw=34,experts=[0,1,2]; c4:bw=10,experts=[0]; c0:bw=20,experts=[0,2]; c9:bw=10,experts=[0]; c2:bw=11,experts=[0]; c8:bw=31,experts=[0,1,2]; c3:bw=12,experts=[0]; c6:bw=35,experts=[0,1,2]; c5:bw=20,experts=[0,2]","3.3917,17.9368,2.6991,5.8581,4.5970,0.2518,6.3147,0.5365,1.7354,5.5364"
28,2026-09-18 08:56:39,Ours,0.01,0.8439869101057319,71.97,72.67,27,49.9726,0:49.97,48.7352,0.1293,1.107,1401.1888,23:21.19,10,"6,9,0,8,2,5,1,3,4,7",6:16;9:27;0:26;8:16;2:10;5:18;1:14;3:10;4:10;7:10,"6:[0];9:[0,2];0:[0,2];8:[0];2:[0];5:[0];1:[0];3:[0];4:[0];7:[0]","c6:bw=16,experts=[0]; c9:bw=27,experts=[0,2]; c0:bw=26,experts=[0,2]; c8:bw=16,experts=[0]; c2:bw=10,experts=[0]; c5:bw=18,experts=[0]; c1:bw=14,experts=[0]; c3:bw=10,experts=[0]; c4:bw=10,experts=[0]; c7:bw=10,experts=[0]","1.7328,4.6253,5.8267,6.3325,0.2504,5.5687,17.7928,0.5420,2.7027,3.3613"
29,2026-09-18 08:57:29,Ours,0.01,0.8414078285908262,72.71,72.71,29,49.9615,0:49.96,48.7081,0.1284,1.1238,1451.1685,24:11.17,10,"4,0,1,9,6,8,7,3,2,5",4:21;0:24;1:18;9:24;6:24;8:19;7:12;3:18;2:10;5:19,"4:[0,2];0:[0,2];1:[0];9:[0,2];6:[0,2];8:[0];7:[0];3:[0];2:[0];5:[0]","c4:bw=21,experts=[0,2]; c0:bw=24,experts=[0,2]; c1:bw=18,experts=[0]; c9:bw=24,experts=[0,2]; c6:bw=24,experts=[0,2]; c8:bw=19,experts=[0]; c7:bw=12,experts=[0]; c3:bw=18,experts=[0]; c2:bw=10,experts=[0]; c5:bw=19,experts=[0]","2.7954,5.8979,17.7368,4.6324,1.7251,6.2968,3.3415,0.5462,0.2504,5.4856"
30,2026-09-18 08:58:19,Ours,0.01,0.8306459283701957,72.83,72.83,30,50.2791,0:50.28,49.0199,0.125,1.1301,1501.4651,25:01.47,10,"5,1,9,4,0,8,6,7,3,2",5:34;1:20;9:30;4:29;0:10;8:23;6:10;7:10;3:33;2:15,"5:[0,1,2];1:[0,2];9:[0,2,3];4:[0,2];0:[0];8:[0,2];6:[0];7:[0];3:[0,1,2];2:[0]","c5:bw=34,experts=[0,1,2]; c1:bw=20,experts=[0,2]; c9:bw=30,experts=[0,2,3]; c4:bw=29,experts=[0,2]; c0:bw=10,experts=[0]; c8:bw=23,experts=[0,2]; c6:bw=10,experts=[0]; c7:bw=10,experts=[0]; c3:bw=33,experts=[0,1,2]; c2:bw=15,experts=[0]","5.6427,18.0037,4.6094,2.7236,5.8232,6.3568,1.7158,3.3482,0.5451,0.2515"
31,2026-09-18 08:59:09,Ours,0.01,0.8294813374587917,73.46,73.46,31,49.9609,0:49.96,48.7243,0.1275,1.1078,1551.4444,25:51.44,10,"6,4,9,1,5,8,3,2,0,7",6:16;4:11;9:25;1:17;5:34;8:18;3:13;2:10;0:26;7:35,"6:[0];4:[0];9:[0,2];1:[0];5:[0,1,2];8:[0];3:[0];2:[0];0:[0,2];7:[0,1,2]","c6:bw=16,experts=[0]; c4:bw=11,experts=[0]; c9:bw=25,experts=[0,2]; c1:bw=17,experts=[0]; c5:bw=34,experts=[0,1,2]; c8:bw=18,experts=[0]; c3:bw=13,experts=[0]; c2:bw=10,experts=[0]; c0:bw=26,experts=[0,2]; c7:bw=35,experts=[0,1,2]","1.7320,2.7314,4.6334,17.7186,5.6068,6.3178,0.5389,0.2488,5.8228,3.3738"
32,2026-09-18 08:59:59,Ours,0.01,0.8276254821385475,73.24,73.46,31,49.9132,0:49.91,48.6785,0.1254,1.1052,1601.3755,26:41.38,10,"8,5,4,7,0,1,3,6,2,9",8:12;5:20;4:27;7:26;0:25;1:12;3:16;6:15;2:30;9:17,"8:[0];5:[0,2];4:[0,2];7:[0,2];0:[0,2];1:[0];3:[0];6:[0];2:[0,1,2];9:[0]","c8:bw=12,experts=[0]; c5:bw=20,experts=[0,2]; c4:bw=27,experts=[0,2]; c7:bw=26,experts=[0,2]; c0:bw=25,experts=[0,2]; c1:bw=12,experts=[0]; c3:bw=16,experts=[0]; c6:bw=15,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=17,experts=[0]","6.3546,5.6219,2.7403,3.3660,5.8163,17.7138,0.5419,1.6935,0.2540,4.5763"
