Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
80,2026-09-18 08:16:30,Ours,0.01,0.7026516369584241,78.29,81.78,79,50.1849,0:50.18,48.9481,0.1287,1.1069,4014.231,1:06:54.23,10,"5,9,7,1,3,4,2,0,6,8",5:36;9:29;7:26;1:17;3:17;4:32;2:24;0:26;6:22;8:28,"5:[0,1,2];9:[0,1];7:[0,1];1:[0];3:[1];4:[0,1,2];2:[0,1];0:[0,1];6:[0,1];8:[0,1]","c5:bw=36,experts=[0,1,2]; c9:bw=29,experts=[0,1]; c7:bw=26,experts=[0,1]; c1:bw=17,experts=[0]; c3:bw=17,experts=[1]; c4:bw=32,experts=[0,1,2]; c2:bw=24,experts=[0,1]; c0:bw=26,experts=[0,1]; c6:bw=22,experts=[0,1]; c8:bw=28,experts=[0,1]","5.6743,4.6051,3.3441,17.6947,0.5641,2.8082,0.2719,5.8213,1.7181,6.4462"
81,2026-09-18 08:17:20,Ours,0.01,0.7038172295132148,81.78,81.78,79,49.8814,0:49.88,48.6436,0.123,1.1098,4064.1431,1:07:44.14,10,"6,2,3,1,4,5,9,7,8,0",6:29;2:25;3:37;1:27;4:23;5:17;9:15;7:32;8:26;0:28,"6:[0,1];2:[0,1];3:[0,1,2];1:[0,1];4:[0,1];5:[0];9:[0];7:[0,1,2];8:[0,1];0:[0,1]","c6:bw=29,experts=[0,1]; c2:bw=25,experts=[0,1]; c3:bw=37,experts=[0,1,2]; c1:bw=27,experts=[0,1]; c4:bw=23,experts=[0,1]; c5:bw=17,experts=[0]; c9:bw=15,experts=[0]; c7:bw=32,experts=[0,1,2]; c8:bw=26,experts=[0,1]; c0:bw=28,experts=[0,1]","1.7318,0.2767,0.5643,17.6474,2.7348,5.5233,4.5502,3.3231,6.4423,5.8496"
82,2026-09-18 08:18:10,Ours,0.01,0.6923473327414118,78.54,81.78,79,50.2392,0:50.24,49.0005,0.1303,1.1071,4114.4124,1:08:34.41,10,"1,0,6,8,7,3,2,9,5,4",1:36;0:17;6:20;8:32;7:22;3:22;2:16;9:31;5:22;4:16,"1:[0,1,2];0:[0];6:[0,1];8:[0,1,2];7:[0,1];3:[0,1];2:[1];9:[0,1,2];5:[0,1];4:[0]","c1:bw=36,experts=[0,1,2]; c0:bw=17,experts=[0]; c6:bw=20,experts=[0,1]; c8:bw=32,experts=[0,1,2]; c7:bw=22,experts=[0,1]; c3:bw=22,experts=[0,1]; c2:bw=16,experts=[1]; c9:bw=31,experts=[0,1,2]; c5:bw=22,experts=[0,1]; c4:bw=16,experts=[0]","17.7615,5.8495,1.7354,6.4941,3.3399,0.5631,0.2768,4.6076,5.5628,2.8096"
83,2026-09-18 08:19:00,Ours,0.01,0.7102671750096984,80.19,81.78,79,49.8746,0:49.87,48.646,0.1247,1.1026,4164.3184,1:09:24.32,10,"9,4,2,7,5,0,6,1,8,3",9:29;4:10;2:23;7:21;5:10;0:10;6:29;1:35;8:22;3:24,"9:[0,1];4:[0];2:[0,1];7:[0,1];5:[0];0:[0];6:[0,1];1:[0,1,2];8:[0,1];3:[0,1]","c9:bw=29,experts=[0,1]; c4:bw=10,experts=[0]; c2:bw=23,experts=[0,1]; c7:bw=21,experts=[0,1]; c5:bw=10,experts=[0]; c0:bw=10,experts=[0]; c6:bw=29,experts=[0,1]; c1:bw=35,experts=[0,1,2]; c8:bw=22,experts=[0,1]; c3:bw=24,experts=[0,1]","4.6363,2.7550,0.2751,3.3559,5.5379,5.8216,1.7206,17.5320,6.4510,0.5606"
84,2026-09-18 08:19:50,Ours,0.01,0.6949309288780035,78.85,81.78,79,50.0057,0:50.01,48.776,0.1264,1.1021,4214.3551,1:10:14.36,10,"8,3,1,6,9,2,7,5,4,0",8:37;3:18;1:32;6:10;9:11;2:20;7:26;5:11;4:15;0:10,"8:[0,1,2];3:[1];1:[0,1,2];6:[0];9:[0];2:[0,1];7:[0,1];5:[0];4:[0];0:[0]","c8:bw=37,experts=[0,1,2]; c3:bw=18,experts=[1]; c1:bw=32,experts=[0,1,2]; c6:bw=10,experts=[0]; c9:bw=11,experts=[0]; c2:bw=20,experts=[0,1]; c7:bw=26,experts=[0,1]; c5:bw=11,experts=[0]; c4:bw=15,experts=[0]; c0:bw=10,experts=[0]","6.5067,0.5593,17.7096,1.7246,4.5558,0.2721,3.3481,5.5303,2.7780,5.7915"
85,2026-09-18 08:20:40,Ours,0.01,0.7012786589388418,82.71,82.71,85,49.887,0:49.89,48.6572,0.1239,1.1017,4264.2732,1:11:04.27,10,"0,2,8,6,1,4,9,3,5,7",0:21;2:25;8:39;6:23;1:31;4:23;9:32;3:28;5:10;7:10,"0:[0,1];2:[0,1];8:[0,1,2];6:[0,1];1:[0,1,2];4:[0,1];9:[0,1,2];3:[0,1];5:[0];7:[0]","c0:bw=21,experts=[0,1]; c2:bw=25,experts=[0,1]; c8:bw=39,experts=[0,1,2]; c6:bw=23,experts=[0,1]; c1:bw=31,experts=[0,1,2]; c4:bw=23,experts=[0,1]; c9:bw=32,experts=[0,1,2]; c3:bw=28,experts=[0,1]; c5:bw=10,experts=[0]; c7:bw=10,experts=[0]","5.8795,0.2698,6.5056,1.7351,17.5864,2.7241,4.5670,0.5604,5.4997,3.3296"
86,2026-09-18 08:21:30,Ours,0.01,0.6866757673721061,78.65,82.71,85,50.0542,0:50.05,48.8185,0.13,1.1044,4314.359,1:11:54.36,10,"5,8,2,6,0,4,7,3,1,9",5:26;8:15;2:13;6:31;0:17;4:10;7:24;3:15;1:40;9:24,"5:[0,1];8:[1];2:[1];6:[0,1,2];0:[0];4:[0];7:[0,1];3:[1];1:[0,1,2,3];9:[0,1]","c5:bw=26,experts=[0,1]; c8:bw=15,experts=[1]; c2:bw=13,experts=[1]; c6:bw=31,experts=[0,1,2]; c0:bw=17,experts=[0]; c4:bw=10,experts=[0]; c7:bw=24,experts=[0,1]; c3:bw=15,experts=[1]; c1:bw=40,experts=[0,1,2,3]; c9:bw=24,experts=[0,1]","5.6263,6.4463,0.2703,1.7206,5.8210,2.7947,3.3393,0.5590,17.6522,4.5888"
87,2026-09-18 08:22:20,Ours,0.01,0.7116286787912083,82.32,82.71,85,49.8882,0:49.89,48.6443,0.124,1.1187,4364.3564,1:12:44.36,10,"1,2,7,5,6,3,4,9,8,0",1:16;2:37;7:12;5:10;6:33;3:38;4:19;9:21;8:26;0:19,"1:[0];2:[0,1,2];7:[0];5:[0];6:[0,1,2];3:[0,1,2];4:[0];9:[0,1];8:[0,1];0:[0]","c1:bw=16,experts=[0]; c2:bw=37,experts=[0,1,2]; c7:bw=12,experts=[0]; c5:bw=10,experts=[0]; c6:bw=33,experts=[0,1,2]; c3:bw=38,experts=[0,1,2]; c4:bw=19,experts=[0]; c9:bw=21,experts=[0,1]; c8:bw=26,experts=[0,1]; c0:bw=19,experts=[0]","17.6626,0.2779,3.3476,5.5371,1.7332,0.5619,2.7081,4.5661,6.4467,5.8031"
88,2026-09-18 08:23:10,Ours,0.01,0.6734578164594176,78.48,82.71,85,49.778,0:49.78,48.5457,0.1281,1.1029,4414.1687,1:13:34.17,10,"8,6,3,7,0,4,9,1,5,2",8:24;6:15;3:18;7:23;0:34;4:21;9:17;1:16;5:17;2:25,"8:[0,1];6:[0];3:[1];7:[0,1];0:[0,1,2];4:[0,1];9:[0];1:[0];5:[0];2:[0,1]","c8:bw=24,experts=[0,1]; c6:bw=15,experts=[0]; c3:bw=18,experts=[1]; c7:bw=23,experts=[0,1]; c0:bw=34,experts=[0,1,2]; c4:bw=21,experts=[0,1]; c9:bw=17,experts=[0]; c1:bw=16,experts=[0]; c5:bw=17,experts=[0]; c2:bw=25,experts=[0,1]","6.4706,1.7374,0.5640,3.3632,5.8309,2.8095,4.5524,17.4375,5.5022,0.2781"
89,2026-09-18 08:24:00,Ours,0.01,0.7087560908116383,81.2,82.71,85,49.5349,0:49.53,48.3014,0.1253,1.1069,4463.7366,1:14:23.74,10,"3,8,2,9,7,5,0,6,4,1",3:17;8:40;2:25;9:34;7:12;5:25;0:10;6:18;4:17;1:23,"3:[0];8:[0,1,2,3];2:[0,1];9:[0,1,2];7:[0];5:[0,1];0:[0];6:[0];4:[0];1:[0,1]","c3:bw=17,experts=[0]; c8:bw=40,experts=[0,1,2,3]; c2:bw=25,experts=[0,1]; c9:bw=34,experts=[0,1,2]; c7:bw=12,experts=[0]; c5:bw=25,experts=[0,1]; c0:bw=10,experts=[0]; c6:bw=18,experts=[0]; c4:bw=17,experts=[0]; c1:bw=23,experts=[0,1]","0.5645,6.5026,0.2758,4.5570,3.3258,5.4915,5.7849,1.7084,2.7060,17.3849"
