Round,Client,BudgetK,NumBatches,NumSamples,StopBatches,Certified,Agree,Agree1,Agree2,Agree4,Agree8,Agree16
15,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,3,1,79,5018,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
15,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
15,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,8,2,82,5219,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,5,2,96,6137,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
16,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,7,1,71,4512,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,0,1,72,4573,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,2,1,58,3656,1,1,1.0,1.0,1.0,1.0,1.0,1.0
17,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
17,6,2,103,6582,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,1,1,66,4218,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,8,1,82,5219,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,2,2,58,3656,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,9,1,54,3421,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18,3,2,79,5018,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
18,6,1,103,6582,1,1,1.0,1.0,1.0,1.0,1.0,1.0
19,0,2,72,4573,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,4,2,105,6664,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,1,2,66,4218,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,9,2,54,3421,16,0,1.0,1.0,1.0,1.0,1.0,1.0
19,5,1,96,6137,1,1,1.0,1.0,1.0,1.0,1.0,1.0
