Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
70,57.96,1.6025180936637704,48.0715,0.1461,1.1224,49.3413,"4.0630,3.2858,4.3335,4.8054,4.4044,6.3672,3.5261,6.4151,5.8380,5.0330"
71,57.36,1.594825554036586,51.8864,0.1403,1.1178,53.1459,"6.4335,4.6949,4.3288,3.5225,4.6513,6.5448,5.4379,7.1959,5.3837,3.6931"
72,55.16,1.600584780948538,48.1969,0.142,1.1549,49.4951,"5.0131,4.0727,6.0217,4.3834,6.2538,4.3792,4.7930,3.5029,3.2828,6.4942"
73,54.6,1.5924857561440635,48.1799,0.1419,1.1188,49.4418,"3.5613,5.0210,4.8477,4.0791,5.9364,3.3579,4.3768,4.3279,6.2964,6.3754"
74,56.62,1.5735916619372683,50.1645,0.1592,1.2932,51.6183,"4.9366,4.4326,4.1034,6.3103,4.3293,4.9784,6.4419,3.7544,7.1169,3.7607"
75,59.8,1.5488047997573868,49.5299,0.1446,1.1209,50.7967,"3.8761,3.5634,4.2105,4.9263,4.3317,6.2858,6.4472,6.3922,4.4640,5.0326"
76,57.6,1.5454508289252151,49.1817,0.1428,1.1263,50.452,"5.0404,6.4788,4.4214,4.8159,3.5952,6.7480,4.3303,6.4057,3.2888,4.0570"
77,57.57,1.546230328422811,49.2486,0.1473,1.2128,50.614,"3.4314,3.5679,4.0664,5.0420,6.4209,4.3059,6.3147,4.6502,4.8639,6.5851"
78,60.4,1.5364570260798054,50.7793,0.1457,1.1274,52.0537,"5.5339,7.2001,5.1831,4.4428,5.0223,4.2862,3.2902,6.3675,5.9008,3.5524"
79,60.5,1.5102526768946267,48.5443,0.1441,1.15,49.8397,"6.3075,3.3130,4.8137,6.5043,4.3499,5.0176,5.8487,4.7980,4.0370,3.5546"
80,61.73,1.4992641967137394,48.831,0.1541,1.2144,50.2009,"5.9344,3.3592,4.3793,4.0814,4.8446,6.4861,3.5362,4.8268,6.2624,5.1206"
81,61.77,1.4986592471679656,51.7015,0.1443,1.1341,52.9812,"7.1483,3.9748,5.6676,4.6982,6.9287,6.1505,3.3448,4.4495,4.9715,4.3678"
82,59.62,1.5004922987187077,48.2022,0.1464,1.1387,49.4885,"4.0525,4.6141,6.3241,5.0415,4.3373,4.8043,3.4953,3.2800,5.8644,6.3886"
83,59.74,1.480792717388335,49.0844,0.1403,1.1344,50.3604,"3.3238,6.4080,3.5469,4.3266,5.8369,4.7852,6.9288,4.0727,5.0762,4.7793"
84,56.09,1.4899163705923704,49.6668,0.1401,1.1314,50.9394,"4.9959,4.8585,4.1545,6.7946,3.5504,3.7843,4.4613,5.8615,6.4254,4.7801"
85,60.64,1.4661087170524345,50.5773,0.1399,1.1126,51.831,"4.6928,3.5308,5.5901,6.8749,4.4289,6.3471,3.2795,5.2642,5.8277,4.7412"
86,60.02,1.4978635985548954,47.6973,0.1435,1.1139,48.9559,"5.8511,4.9924,3.5010,6.2937,4.3822,6.3273,4.3016,4.7807,4.0094,3.2580"
87,56.63,1.5056800937865584,49.0918,0.1406,1.1399,50.3735,"4.0709,3.5447,4.3250,5.8132,6.4676,5.1616,6.8796,3.4777,5.0010,4.3505"
