Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
52,58.1,1.5713132015889166,58.6305,0.1548,1.2463,60.0358,"5.4096,6.2208,7.0885,5.2636,5.0025,7.8328,4.0251,7.6710,4.2986,5.8180"
53,59.1,1.565893071628799,58.3224,0.1606,1.273,59.7575,"6.0508,7.7464,7.1608,4.9407,5.8505,4.0141,7.6334,5.2568,5.3559,4.3130"
54,59.76,1.5605487469632229,58.5127,0.153,1.2564,59.9236,"4.3581,4.9906,6.1307,5.2813,5.8684,5.3205,7.6294,7.1291,4.0235,7.7811"
55,60.03,1.5517180127704775,61.2696,0.1425,1.2906,62.7074,"5.3218,4.4319,9.0501,6.4435,6.1587,7.3372,5.1319,7.8430,5.4444,4.1073"
56,58.18,1.5466303929981855,61.0953,0.1471,1.2957,62.5396,"4.1669,5.1259,5.9871,4.5898,7.5381,8.3738,6.3708,5.4998,7.9619,5.4812"
57,59.73,1.5389020877224389,60.3572,0.1513,1.2804,61.7904,"6.0974,6.2882,7.8469,5.0781,5.4588,5.5641,7.3670,7.9386,4.4200,4.2981"
58,60.23,1.5328507694334117,60.0323,0.1576,1.2717,61.4674,"5.4632,4.4367,4.1179,7.7563,7.3072,5.2022,6.1537,7.9939,6.0873,5.5140"
59,60.38,1.525997503794584,60.4824,0.1574,1.3069,61.9483,"4.5116,6.3306,4.1278,7.8591,5.1623,8.0458,5.3671,7.2810,5.5698,6.2273"
60,60.47,1.518333705805659,60.2095,0.1593,1.3192,61.6928,"5.6283,5.4569,7.9665,4.4182,7.3994,6.2589,7.8103,4.0898,5.0507,6.1305"
61,60.68,1.5040188546702762,60.7948,0.1664,1.2952,62.2578,"7.3015,7.9220,4.4348,4.1836,5.2186,6.1410,6.2701,8.1915,5.4656,5.6661"
62,60.49,1.50094748165753,60.5362,0.1679,1.2905,61.9961,"6.3252,7.9473,4.2970,8.1002,7.3946,5.5726,5.9519,4.4100,5.1451,5.3922"
